"","county","GEOID","yearG","CAUSE","Ndeaths","YLL","m.YLL","Level","popTot","YLLper","cDeathRate"
"118","Alameda","06001404200","2006-2010",69,16,244.71,15.294375,"gbd3",3634,1346.78040726472,88.0572372041827
"119","Alameda","06001404200","2011-2015",69,7,136.81,19.5442857142857,"gbd3",3634,752.944413869015,38.5250412768299
"120","Alameda","06001404300","2001-2005",69,4,108.61,27.1525,"gbd3",3397,639.446570503385,23.5501913453047
"121","Alameda","06001404300","2011-2015",69,12,192.47,16.0391666666667,"gbd3",3397,1133.1763320577,70.650574035914
"122","Alameda","06001404300","2006-2010",69,15,195.83,13.0553333333333,"gbd3",3397,1152.95849278775,88.3132175448926
"123","Alameda","06001404400","2011-2015",69,17,365.68,21.5105882352941,"gbd3",5292,1382.01058201058,64.2479213907785
"124","Alameda","06001404400","2001-2005",69,4,68.67,17.1675,"gbd3",5292,259.52380952381,15.1171579743008
"125","Alameda","06001404400","2006-2010",69,11,281.86,25.6236363636364,"gbd3",5292,1065.23053665911,41.5721844293273
"126","Alameda","06001404501","2011-2015",69,9,242.93,26.9922222222222,"gbd3",1772,2741.87358916479,101.580135440181
"127","Alameda","06001404501","2006-2010",69,6,194.21,32.3683333333333,"gbd3",1772,2191.98645598194,67.7200902934537
"128","Alameda","06001404502","2001-2005",69,3,34.43,11.4766666666667,"gbd3",5433,126.743972022823,11.0436223081171
"129","Alameda","06001404502","2006-2010",69,23,489.95,21.3021739130435,"gbd3",5433,1803.60758328732,84.6677710288975
"130","Alameda","06001404502","2011-2015",69,16,320.99,20.061875,"gbd3",5433,1181.63077489417,58.8993189766243
"131","Alameda","06001404600","2006-2010",69,9,184.28,20.4755555555556,"gbd3",4314,854.334724153917,41.7246175243394
"132","Alameda","06001404600","2001-2005",69,3,27.28,9.09333333333333,"gbd3",4314,126.471951784886,13.9082058414465
"133","Alameda","06001404600","2011-2015",69,16,320.83,20.051875,"gbd3",4314,1487.38989337042,74.1770978210478
"134","Alameda","06001404700","2006-2010",69,6,87.36,14.56,"gbd3",2135,818.360655737705,56.2060889929742
"135","Alameda","06001404700","2011-2015",69,9,172.26,19.14,"gbd3",2135,1613.67681498829,84.3091334894614
"136","Alameda","06001404700","2001-2005",69,2,41.07,20.535,"gbd3",2135,384.730679156909,18.7353629976581
"137","Alameda","06001404800","2001-2005",69,3,42.54,14.18,"gbd3",2911,292.270697354861,20.611473720371
"138","Alameda","06001404800","2006-2010",69,11,181.32,16.4836363636364,"gbd3",2911,1245.75747165922,75.5754036413604
"139","Alameda","06001404800","2011-2015",69,8,167.71,20.96375,"gbd3",2911,1152.25008588114,54.9639299209894
"140","Alameda","06001404900","2011-2015",69,16,282.63,17.664375,"gbd3",4118,1372.65662943176,77.7076250607091
"141","Alameda","06001404900","2006-2010",69,17,275.66,16.2152941176471,"gbd3",4118,1338.80524526469,82.5643516270034
"142","Alameda","06001404900","2001-2005",69,3,24.04,8.01333333333333,"gbd3",4118,116.755706653715,14.570179698883
