"","comID","county","yearG","CAUSE","Ndeaths","YLL","m.YLL","Level","popTot","YLLper","cDeathRate","rateLCI","rateUCI","comName"
"1","1.1","Alameda","2011-2015",69,198,4329.68,21.8670707070707,"gbd3",57221,1513.31853690079,69.2053616679191,59.5658454464903,78.844877889348,"Livermore Central and West/Spring Town"
"2","1.1","Alameda","2006-2010",69,167,3349.28,20.0555688622755,"gbd3",57221,1170.647140036,58.3701787805176,49.517374172072,67.2229833889633,"Livermore Central and West/Spring Town"
"3","1.1","Alameda","2001-2005",69,28,542,19.3571428571429,"gbd3",57221,189.440939515213,9.78661680152392,6.16166981930674,13.4115637837411,"Livermore Central and West/Spring Town"
"4","1.2","Alameda","2001-2005",69,10,284.66,28.466,"gbd3",38208,149.005443886097,5.23450586264657,1.99018513240912,8.47882659288401,"Altamont/Livermore East/Midway/Mountain House/Scotts Corner"
"5","1.2","Alameda","2011-2015",69,113,2323.25,20.5597345132743,"gbd3",38208,1216.10657453936,59.1499162479062,48.2439787775496,70.0558537182628,"Altamont/Livermore East/Midway/Mountain House/Scotts Corner"
"6","1.2","Alameda","2006-2010",69,99,2139.56,21.6117171717172,"gbd3",38208,1119.95393634841,51.821608040201,41.6135911756764,62.0296249047256,"Altamont/Livermore East/Midway/Mountain House/Scotts Corner"
"7","107plus","Monterey","2006-2010",69,113,2574.13,22.7799115044248,"gbd3",79484,647.710230989885,28.4333954003321,23.190905605312,33.6758851953523,"Big Sur/Lucia/King City/San Lucas/Bradley/San Ardo/Chualar/Gonzalez/Greenfield/Soledad"
"8","107plus","Monterey","2011-2015",69,156,3776.29,24.3631612903226,"gbd3",79484,950.201298374516,39.253183030547,33.0934672837876,45.4128987773064,"Big Sur/Lucia/King City/San Lucas/Bradley/San Ardo/Chualar/Gonzalez/Greenfield/Soledad"
"9","107plus","Monterey","2001-2005",69,27,566.54,20.982962962963,"gbd3",79484,142.554476372603,6.79382013990237,4.23122348983807,9.35641678996667,"Big Sur/Lucia/King City/San Lucas/Bradley/San Ardo/Chualar/Gonzalez/Greenfield/Soledad"
"10","108","Monterey","2001-2005",69,33,649.32,19.6763636363636,"gbd3",55862,232.472879596148,11.814829401024,7.78377577095391,15.845883031094,"Carmel Valley/Castroville/Marina/Moss Landing/Ord"
"11","108","Monterey","2006-2010",69,148,3279.06,22.1558108108108,"gbd3",55862,1173.98589380975,52.9877197379256,44.4509716903124,61.5244677855388,"Carmel Valley/Castroville/Marina/Moss Landing/Ord"
"12","108","Monterey","2011-2015",69,176,4227.07,24.0174431818182,"gbd3",55862,1513.39730049049,63.0124234721277,53.7031038783727,72.3217430658828,"Carmel Valley/Castroville/Marina/Moss Landing/Ord"
"13","109.1","Monterey","2006-2010",69,89,1968.43,22.117191011236,"gbd3",44013,894.47663190421,40.4425965055779,32.0404138551513,48.8447791560045,"Aromas/Las Lomas/Pajaro/Prunedale"
"14","109.1","Monterey","2011-2015",69,88,1853.67,21.0644318181818,"gbd3",44013,842.328402971849,39.988185308886,31.6333392754205,48.3430313423516,"Aromas/Las Lomas/Pajaro/Prunedale"
"15","109.1","Monterey","2001-2005",69,18,300.25,16.6805555555556,"gbd3",44013,136.436961806739,8.17940154045396,4.40078024851836,11.9580228323896,"Aromas/Las Lomas/Pajaro/Prunedale"
"16","109.2","Monterey","2006-2010",69,365,7951.33,21.7844657534247,"gbd3",154411,1029.89165279676,47.2764246070552,42.426373853196,52.1264753609144,"Salinas/Spreckels"
"17","109.2","Monterey","2001-2005",69,97,2203.78,22.719381443299,"gbd3",154411,285.443394576811,12.5638717448886,10.0636086055557,15.0641348842216,"Salinas/Spreckels"
"18","109.2","Monterey","2011-2015",69,424,9004.2,21.236320754717,"gbd3",154411,1166.26406149821,54.918367214771,49.6910027719581,60.1457316575839,"Salinas/Spreckels"
"19","10plus","Butte","2011-2015",69,431,9309.36,21.5994431554524,"gbd3",68842,2704.55826385056,125.214258737399,113.393013072254,137.035504402543,"Oroville/Palermo/Thermalito/Berry Creek/Brownsville/Concow/Feather Falls/Forbestown/Biggs/East Biggs/Gridley"
"20","10plus","Butte","2001-2005",69,76,1419.21,18.6738157894737,"gbd3",68842,412.309346038755,22.0795444641353,17.1155486815668,27.0435402467037,"Oroville/Palermo/Thermalito/Berry Creek/Brownsville/Concow/Feather Falls/Forbestown/Biggs/East Biggs/Gridley"
"21","10plus","Butte","2006-2010",69,468,9565.25,20.4385683760684,"gbd3",68842,2778.89950902066,135.96351064757,123.645302615865,148.281718679275,"Oroville/Palermo/Thermalito/Berry Creek/Brownsville/Concow/Feather Falls/Forbestown/Biggs/East Biggs/Gridley"
"22","110","Monterey","2001-2005",69,91,1775.51,19.5110989010989,"gbd3",94671,375.090576839793,19.224472119234,15.2746110673425,23.1743331711255,"Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside"
"23","110","Monterey","2006-2010",69,485,9734.91,20.0719793814433,"gbd3",94671,2056.5769876731,102.460098657456,93.3414183200687,111.578778994843,"Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside"
"24","110","Monterey","2011-2015",69,500,9403.68,18.80736,"gbd3",94671,1986.60202173844,105.628967688099,96.3703505764534,114.887584799744,"Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside"
"25","112.1plus","Napa","2011-2015",69,373,7250.13,19.437345844504,"gbd3",85685,1692.27519402463,87.0630798856276,78.2276496607442,95.898510110511,"Napa Central/American Canyon"
"26","112.1plus","Napa","2006-2010",69,358,7532.51,21.040530726257,"gbd3",85685,1758.18638034662,83.5618836435782,74.9059324513671,92.2178348357894,"Napa Central/American Canyon"
"27","112.1plus","Napa","2001-2005",69,58,1142.27,19.6943103448276,"gbd3",85685,266.620762093715,13.5379588025909,10.0538855104343,17.0220320947475,"Napa Central/American Canyon"
"28","112.2plus","Napa","2011-2015",69,325,6175.53,19.0016307692308,"gbd3",54610,2261.68467313679,119.025819446988,106.085422735173,131.966216158802,"Angwin/Deer Park/St. Helena/Calistoga/Berryessa/Napa Northeast/Rutherford/Yountville"
"29","112.2plus","Napa","2001-2005",69,54,1243.58,23.0292592592593,"gbd3",54610,455.440395531954,19.7765976927303,14.5018366493075,25.0513587361531,"Angwin/Deer Park/St. Helena/Calistoga/Berryessa/Napa Northeast/Rutherford/Yountville"
"30","112.2plus","Napa","2006-2010",69,301,6057.91,20.1259468438538,"gbd3",54610,2218.6083134957,110.236220472441,97.782785483244,122.689655461638,"Angwin/Deer Park/St. Helena/Calistoga/Berryessa/Napa Northeast/Rutherford/Yountville"
"31","114plus","Nevada","2001-2005",69,90,1414.26,15.714,"gbd3",98570,286.955463122654,18.2611342193365,14.488414128206,22.033854310467,"Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood/North Bloomfield/North San Juan/Truckee"
"32","114plus","Nevada","2006-2010",69,492,9806.33,19.9721588594705,"gbd3",98570,1989.71898143451,99.8275337323729,91.0065731472906,108.648494317455,"Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood/North Bloomfield/North San Juan/Truckee"
"33","114plus","Nevada","2011-2015",69,548,11112.9,20.2790145985401,"gbd3",98570,2254.82398295627,111.190017246627,101.880576128697,120.499458364557,"Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood/North Bloomfield/North San Juan/Truckee"
"34","115.1","Orange","2006-2010",69,453,8855.91,19.5927212389381,"gbd3",116453,1520.94149571072,77.7996273174585,70.6352820630284,84.9639725718887,"Dana Point/San Clemente/San Juan Capistrano"
"35","115.1","Orange","2011-2015",69,488,9516.99,19.5020286885246,"gbd3",116453,1634.47742866221,83.8106360505955,76.3746713987859,91.2466007024052,"Dana Point/San Clemente/San Juan Capistrano"
"36","115.1","Orange","2001-2005",69,90,1580,17.5555555555556,"gbd3",116453,271.354108524469,15.4568795994951,12.2635138692628,18.6502453297273,"Dana Point/San Clemente/San Juan Capistrano"
"37","115.2a","Orange","2011-2015",69,390,8430.13,21.6157179487179,"gbd3",114796,1468.71493780271,67.9466183490714,61.2031451685437,74.690091529599,"Lake Forest East/Mission Viejo Central and South"
"38","115.2a","Orange","2001-2005",69,72,1340.13,18.6129166666667,"gbd3",114796,233.480260636259,12.5439910798286,9.64653021147146,15.4414519481857,"Lake Forest East/Mission Viejo Central and South"
"39","115.2a","Orange","2006-2010",69,313,6371.98,20.3577635782748,"gbd3",114796,1110.13972612286,54.5315167775881,48.4903127971603,60.5727207580158,"Lake Forest East/Mission Viejo Central and South"
"40","115.2b","Orange","2001-2005",69,49,1056.34,21.5579591836735,"gbd3",141359,149.454933891722,6.93270325907795,4.99158201574992,8.87382450240598,"Coto de Caza/Las Flores/Mission Viejo Northwest/Rancho Santa Margarita/Trabuco Canyon"
"41","115.2b","Orange","2011-2015",69,347,7187.27,20.7125936599424,"gbd3",141359,1016.88183985455,49.0948577734704,43.9292745865063,54.2604409604345,"Coto de Caza/Las Flores/Mission Viejo Northwest/Rancho Santa Margarita/Trabuco Canyon"
"42","115.2b","Orange","2006-2010",69,283,6328.87,22.3634982332155,"gbd3",141359,895.432197454708,40.0398984146747,35.3749393169086,44.7048575124408,"Coto de Caza/Las Flores/Mission Viejo Northwest/Rancho Santa Margarita/Trabuco Canyon"
"43","115.2c","Orange","2006-2010",69,324,6982.08,21.5496296296296,"gbd3",128243,1088.88282401379,50.5290737116256,45.027120120128,56.0310273031231,"Aliso Viejo/Laguna Hills/Laguna Niguel"
"44","115.2c","Orange","2011-2015",69,399,7695.21,19.3346984924623,"gbd3",128243,1200.09825097666,62.2256185522797,56.1199831681402,68.3312539364191,"Aliso Viejo/Laguna Hills/Laguna Niguel"
"45","115.2c","Orange","2001-2005",69,87,1694.55,19.4775862068966,"gbd3",128243,264.271734129738,13.5679920151587,10.7169471995809,16.4190368307366,"Aliso Viejo/Laguna Hills/Laguna Niguel"
"46","115.2d","Orange","2006-2010",69,610,10913.17,17.8904426229508,"gbd3",77181,2827.94211010482,158.069991319107,145.526090747243,170.613891890971,"Laguna Beach/Laguna Woods"
"47","115.2d","Orange","2001-2005",69,108,2150.33,19.910462962963,"gbd3",77181,557.217449890517,27.9861623974812,22.7080387107265,33.264286084236,"Laguna Beach/Laguna Woods"
"48","115.2d","Orange","2011-2015",69,556,10104.62,18.2065225225225,"gbd3",77181,2618.42163226701,144.076910120366,132.101095044537,156.052725196196,"Laguna Beach/Laguna Woods"
"49","116a","Orange","2011-2015",69,277,5756.14,20.7802888086643,"gbd3",81772,1407.85109817541,67.7493518563812,59.7709969528967,75.7277067598657,"Buena Park/La Palma"
"50","116a","Orange","2006-2010",69,275,6644.79,24.1628727272727,"gbd3",81772,1625.19933473561,67.2601868610282,59.3106868618484,75.209686860208,"Buena Park/La Palma"
"51","116a","Orange","2001-2005",69,44,939.44,21.3509090909091,"gbd3",81772,229.770581617179,10.7616298977645,7.5818298980926,13.9414298974364,"Buena Park/La Palma"
"52","116b","Orange","2011-2015",69,199,4545.52,22.8418090452261,"gbd3",116393,781.064153342555,34.1944962325913,29.443575737448,38.9454167277346,"Santa Ana Central"
"53","116b","Orange","2001-2005",69,31,748.39,24.1416129032258,"gbd3",116393,128.597080580447,5.32678082015241,3.45164784384758,7.20191379645725,"Santa Ana Central"
"54","116b","Orange","2006-2010",69,183,4574.04,24.9947540983607,"gbd3",116393,785.964791697095,31.4451900028352,26.8892628700202,36.0011171356503,"Santa Ana Central"
"55","116c","Orange","2006-2010",69,415,8315.93,20.0383855421687,"gbd3",125823,1321.845767467,65.9656819500409,59.6190677487059,72.3122961513759,"Anaheim West"
"56","116c","Orange","2011-2015",69,487,10245.74,21.0384804928131,"gbd3",125823,1628.59572574172,77.4103303847468,70.5351747884132,84.2854859810805,"Anaheim West"
"57","116c","Orange","2001-2005",69,96,2165.51,22.5573958333333,"gbd3",125823,344.215286553333,15.2595312462745,12.20704534061,18.312017151939,"Anaheim West"
"58","116d","Orange","2001-2005",69,78,1566.39,20.0819230769231,"gbd3",150895,207.613240995394,10.3383147221578,8.04401296026073,12.6326164840549,"Irvine South/Newport Beach/Newport Coast/San Joaquin Hills"
"59","116d","Orange","2011-2015",69,487,10164.69,20.8720533880904,"gbd3",150895,1347.25338811757,64.5481957652672,58.8153835276352,70.2810080028993,"Irvine South/Newport Beach/Newport Coast/San Joaquin Hills"
"60","116d","Orange","2006-2010",69,396,7743.43,19.5541161616162,"gbd3",150895,1026.33354319229,52.4868285894165,47.3173013239702,57.6563558548627,"Irvine South/Newport Beach/Newport Coast/San Joaquin Hills"
"61","116e","Orange","2006-2010",69,442,9009.78,20.4303401360544,"gbd3",115800,1556.0932642487,76.3385146804836,69.2217818549382,83.455247506029,"Cypress/Los Alamitos/Rossmoor"
"62","116e","Orange","2011-2015",69,487,9821.38,20.1671047227926,"gbd3",115800,1696.26597582038,84.1105354058722,76.6403048134932,91.5807659982512,"Cypress/Los Alamitos/Rossmoor"
"63","116e","Orange","2001-2005",69,101,2086.08,20.6542574257426,"gbd3",115800,360.290155440414,17.4438687392055,14.0419008175295,20.8458366608815,"Cypress/Los Alamitos/Rossmoor"
"64","116f","Orange","2006-2010",69,405,7948.73,19.6264938271605,"gbd3",107781,1474.97796457632,75.1523923511565,67.8331961429294,82.4715885593836,"Fullerton Central and South"
"65","116f","Orange","2011-2015",69,430,8644.29,20.103,"gbd3",107781,1604.04709549921,79.7914289160427,72.2497141017342,87.3331437303512,"Fullerton Central and South"
"66","116f","Orange","2001-2005",69,89,1867.28,20.9806741573034,"gbd3",107781,346.495207875228,16.5149701709949,13.0838898786129,19.9460504633769,"Fullerton Central and South"
"67","116g","Orange","2001-2005",69,32,605.5,18.921875,"gbd3",121281,99.8507598057404,5.27700134398628,3.44864725805404,7.10535542991852,"Santa Ana South"
"68","116g","Orange","2011-2015",69,234,5194.06,22.1968376068376,"gbd3",121281,856.533175023293,38.5880723278997,33.6439040230001,43.5322406327993,"Santa Ana South"
"69","116g","Orange","2006-2010",69,227,5497.47,24.2179295154185,"gbd3",121281,906.567393078883,37.4337282839027,32.5640726985945,42.3033838692109,"Santa Ana South"
"70","116h","Orange","2006-2010",69,456,9116.24,19.9917543859649,"gbd3",139170,1310.08694402529,65.5313645182151,59.5166519123095,71.5460771241208,"City of Orange South/Santa Ana North/Tustin Foothills/Tustin West"
"71","116h","Orange","2001-2005",69,83,1741.05,20.9765060240964,"gbd3",139170,250.204785514119,11.9278580153769,9.36177025240107,14.4939457783527,"City of Orange South/Santa Ana North/Tustin Foothills/Tustin West"
"72","116h","Orange","2011-2015",69,542,10650.5,19.65036900369,"gbd3",139170,1530.5741179852,77.8903499317382,71.3329434939916,84.4477563694848,"City of Orange South/Santa Ana North/Tustin Foothills/Tustin West"
"73","116i","Orange","2001-2005",69,57,1226.71,21.5212280701754,"gbd3",120284,203.968940174919,9.47756975158791,7.01715879379286,11.937980709383,"Garden Grove South/Santa Ana West"
"74","116i","Orange","2006-2010",69,298,6627.28,22.2391946308725,"gbd3",120284,1101.93874497024,49.5493997539157,43.9236765953968,55.1751229124347,"Garden Grove South/Santa Ana West"
"75","116i","Orange","2011-2015",69,348,7809.25,22.4403735632184,"gbd3",120284,1298.46862425593,57.8630574307472,51.7836696437739,63.9424452177205,"Garden Grove South/Santa Ana West"
"76","116j","Orange","2011-2015",69,378,7377.47,19.5171164021164,"gbd3",79907,1846.51407260941,94.6099841065238,85.0723828735738,104.147585339474,"Fountain Valley/Huntington Beach Central"
"77","116j","Orange","2006-2010",69,325,6865.67,21.1251384615385,"gbd3",79907,1718.41515762073,81.3445630545509,72.5008439256612,90.1882821834406,"Fountain Valley/Huntington Beach Central"
"78","116j","Orange","2001-2005",69,68,1576.23,23.1798529411765,"gbd3",79907,394.516124995307,17.0197855006445,12.9745136067353,21.0650573945537,"Fountain Valley/Huntington Beach Central"
"79","116k","Orange","2001-2005",69,90,1836.1,20.4011111111111,"gbd3",112605,326.113405266196,15.985080591448,12.6825894109255,19.2875717719705,"Brea West/Fullerton North/La Habra"
"80","116k","Orange","2011-2015",69,406,8853.52,21.8066995073892,"gbd3",112605,1572.49145242218,72.1104746680876,65.0961893342879,79.1247600018872,"Brea West/Fullerton North/La Habra"
