year,agell,ageul,sex,geoName,nx,raceCode
2009,55,59,Male,Moraga,506,Total
2009,55,59,Male,Oakley,609,Total
2009,55,59,Male,Orinda,892,Total
2009,55,59,Male,Pinole,715,Total
2009,55,59,Male,Pittsburg,1668,Total
2009,55,59,Male,Pleasant Hill,1142,Total
2009,55,59,Male,Richmond,2828,Total
2009,55,59,Male,San Pablo,842,Total
2009,55,59,Male,San Ramon,1521,Total
2009,55,59,Male,Walnut Creek,2105,Total
2009,60,64,Male,Antioch,1678,Total
2009,60,64,Male,Brentwood,658,Total
2009,60,64,Male,Clayton,391,Total
2009,60,64,Male,Concord,2544,Total
2009,60,64,Male,Danville,1337,Total
2009,60,64,Male,El Cerrito,523,Total
2009,60,64,Male,Hercules,517,Total
2009,60,64,Male,Lafayette,1013,Total
2009,60,64,Male,Martinez,925,Total
2009,60,64,Male,Moraga,484,Total
2009,60,64,Male,Oakley,505,Total
2009,60,64,Male,Orinda,811,Total
2009,60,64,Male,Pinole,465,Total
2009,60,64,Male,Pittsburg,1237,Total
2009,60,64,Male,Pleasant Hill,852,Total
2009,60,64,Male,Richmond,2262,Total
2009,60,64,Male,San Pablo,548,Total
2009,60,64,Male,San Ramon,1103,Total
2009,60,64,Male,Walnut Creek,1773,Total
2009,65,69,Male,Antioch,1150,Total
2009,65,69,Male,Brentwood,759,Total
2009,65,69,Male,Clayton,162,Total
2009,65,69,Male,Concord,1869,Total
2009,65,69,Male,Danville,962,Total
2009,65,69,Male,El Cerrito,422,Total
2009,65,69,Male,Hercules,351,Total
2009,65,69,Male,Lafayette,540,Total
2009,65,69,Male,Martinez,557,Total
2009,65,69,Male,Moraga,366,Total
2009,65,69,Male,Oakley,204,Total
2009,65,69,Male,Orinda,291,Total
2009,65,69,Male,Pinole,322,Total
2009,65,69,Male,Pittsburg,738,Total
2009,65,69,Male,Pleasant Hill,593,Total
2009,65,69,Male,Richmond,1340,Total
2009,65,69,Male,San Pablo,413,Total
2009,65,69,Male,San Ramon,596,Total
2009,65,69,Male,Walnut Creek,1550,Total
2009,70,74,Male,Antioch,760,Total
2009,70,74,Male,Brentwood,612,Total
2009,70,74,Male,Clayton,225,Total
2009,70,74,Male,Concord,1372,Total
2009,70,74,Male,Danville,497,Total
2009,70,74,Male,El Cerrito,321,Total
2009,70,74,Male,Hercules,152,Total
2009,70,74,Male,Lafayette,403,Total
2009,70,74,Male,Martinez,442,Total
2009,70,74,Male,Moraga,291,Total
2009,70,74,Male,Oakley,277,Total
2009,70,74,Male,Orinda,303,Total
2009,70,74,Male,Pinole,240,Total
2009,70,74,Male,Pittsburg,671,Total
2009,70,74,Male,Pleasant Hill,394,Total
2009,70,74,Male,Richmond,1004,Total
2009,70,74,Male,San Pablo,300,Total
2009,70,74,Male,San Ramon,544,Total
2009,70,74,Male,Walnut Creek,1244,Total
2009,75,79,Male,Antioch,750,Total
2009,75,79,Male,Brentwood,529,Total
2009,75,79,Male,Clayton,141,Total
2009,75,79,Male,Concord,924,Total
2009,75,79,Male,Danville,330,Total
2009,75,79,Male,El Cerrito,382,Total
2009,75,79,Male,Hercules,188,Total
2009,75,79,Male,Lafayette,237,Total
2009,75,79,Male,Martinez,438,Total
2009,75,79,Male,Moraga,243,Total
2009,75,79,Male,Oakley,121,Total
2009,75,79,Male,Orinda,442,Total
2009,75,79,Male,Pinole,266,Total
2009,75,79,Male,Pittsburg,363,Total
2009,75,79,Male,Pleasant Hill,438,Total
2009,75,79,Male,Richmond,566,Total
2009,75,79,Male,San Pablo,224,Total
2009,75,79,Male,San Ramon,269,Total
2009,75,79,Male,Walnut Creek,1245,Total
2009,80,84,Male,Antioch,353,Total
2009,80,84,Male,Brentwood,234,Total
2009,80,84,Male,Clayton,38,Total
2009,80,84,Male,Concord,717,Total
2009,80,84,Male,Danville,243,Total
2009,80,84,Male,El Cerrito,347,Total
2009,80,84,Male,Hercules,137,Total
2009,80,84,Male,Lafayette,211,Total
2009,80,84,Male,Martinez,197,Total
2009,80,84,Male,Moraga,132,Total
2009,80,84,Male,Oakley,90,Total
2009,80,84,Male,Orinda,198,Total
2009,80,84,Male,Pinole,155,Total
2009,80,84,Male,Pittsburg,361,Total
2009,80,84,Male,Pleasant Hill,299,Total
2009,80,84,Male,Richmond,636,Total
2009,80,84,Male,San Pablo,276,Total
2009,80,84,Male,San Ramon,93,Total
2009,80,84,Male,Walnut Creek,985,Total
2009,85,199,Male,Antioch,385,Total
2009,85,199,Male,Brentwood,148,Total
2009,85,199,Male,Clayton,49,Total
2009,85,199,Male,Concord,575,Total
2009,85,199,Male,Danville,220,Total
2009,85,199,Male,El Cerrito,208,Total
2009,85,199,Male,Hercules,58,Total
2009,85,199,Male,Lafayette,207,Total
2009,85,199,Male,Martinez,137,Total
2009,85,199,Male,Moraga,95,Total
2009,85,199,Male,Oakley,78,Total
2009,85,199,Male,Orinda,247,Total
2009,85,199,Male,Pinole,74,Total
2009,85,199,Male,Pittsburg,208,Total
2009,85,199,Male,Pleasant Hill,178,Total
2009,85,199,Male,Richmond,498,Total
2009,85,199,Male,San Pablo,295,Total
2009,85,199,Male,San Ramon,134,Total
2009,85,199,Male,Walnut Creek,1219,Total
2009,0,4,Female,Antioch,3797,Total
2009,0,4,Female,Brentwood,1924,Total
2009,0,4,Female,Clayton,387,Total
2009,0,4,Female,Concord,3786,Total
2009,0,4,Female,Danville,1278,Total
2009,0,4,Female,El Cerrito,706,Total
2009,0,4,Female,Hercules,411,Total
2009,0,4,Female,Lafayette,588,Total
2009,0,4,Female,Martinez,785,Total
2009,0,4,Female,Moraga,344,Total
2009,0,4,Female,Oakley,1106,Total
2009,0,4,Female,Orinda,505,Total
2009,0,4,Female,Pinole,579,Total
2009,0,4,Female,Pittsburg,2842,Total
2009,0,4,Female,Pleasant Hill,1093,Total
2009,0,4,Female,Richmond,3585,Total
2009,0,4,Female,San Pablo,1166,Total
2009,0,4,Female,San Ramon,1766,Total
2009,0,4,Female,Walnut Creek,1542,Total
2009,5,9,Female,Antioch,3960,Total
2009,5,9,Female,Brentwood,2680,Total
2009,5,9,Female,Clayton,372,Total
2009,5,9,Female,Concord,3748,Total
2009,5,9,Female,Danville,1639,Total
2009,5,9,Female,El Cerrito,577,Total
2009,5,9,Female,Hercules,968,Total
2009,5,9,Female,Lafayette,919,Total
2009,5,9,Female,Martinez,1002,Total
2009,5,9,Female,Moraga,450,Total
2009,5,9,Female,Oakley,974,Total
2009,5,9,Female,Orinda,668,Total
2009,5,9,Female,Pinole,549,Total
2009,5,9,Female,Pittsburg,2194,Total
2009,5,9,Female,Pleasant Hill,943,Total
2009,5,9,Female,Richmond,3730,Total
2009,5,9,Female,San Pablo,1121,Total
2009,5,9,Female,San Ramon,1999,Total
2009,5,9,Female,Walnut Creek,1477,Total
2009,10,14,Female,Antioch,4194,Total
2009,10,14,Female,Brentwood,2057,Total
2009,10,14,Female,Clayton,318,Total
2009,10,14,Female,Concord,3573,Total
2009,10,14,Female,Danville,1751,Total
2009,10,14,Female,El Cerrito,409,Total
2009,10,14,Female,Hercules,699,Total
2009,10,14,Female,Lafayette,976,Total
2009,10,14,Female,Martinez,1137,Total
2009,10,14,Female,Moraga,738,Total
2009,10,14,Female,Oakley,1475,Total
2009,10,14,Female,Orinda,657,Total
2009,10,14,Female,Pinole,660,Total
2009,10,14,Female,Pittsburg,2647,Total
2009,10,14,Female,Pleasant Hill,743,Total
2009,10,14,Female,Richmond,3556,Total
2009,10,14,Female,San Pablo,1175,Total
2009,10,14,Female,San Ramon,1676,Total
2009,10,14,Female,Walnut Creek,1256,Total
2009,15,19,Female,Antioch,4237,Total
2009,15,19,Female,Brentwood,1969,Total
2009,15,19,Female,Clayton,389,Total
2009,15,19,Female,Concord,3734,Total
