"","causeName","CAUSE","sex","county","comName","comID","Ndeaths","cDeathRate","aRate","aLCI","aUCI","aSE","aRateState","aSEState","count","percentGeocoded","myZ","sig","pValue"
"64","Firearm-Homicide","S3","Female","Monterey","Carmel Valley/Castroville/Marina/Moss Landing/Ord","108",5,3.444,3.633,1.114,9.473,1.689,0.8687,0.03016,12745,0.95166732051785,1.63638803412434,2,0.0508792009540384
"65","ALL Firearm","S","Male","Monterey","Carmel Valley/Castroville/Marina/Moss Landing/Ord","108",24,17.29,24.68,15.56,37.77,5.2,13.14,0.1168,12745,0.95166732051785,2.21867115703209,1,0.013254552329976
"66","Firearm-Suicide","S2","Male","Monterey","Carmel Valley/Castroville/Marina/Moss Landing/Ord","108",16,11.52,12.08,6.74,20.43,3.134,7.108,0.08629,12745,0.95166732051785,1.58586995840392,2,0.0563844059281234
"67","Firearm-Homicide","S3","Male","Monterey","Carmel Valley/Castroville/Marina/Moss Landing/Ord","108",7,5.042,5.17,2.037,11.43,1.99,5.834,0.07741,12745,0.95166732051785,-0.333416179232916,2,0.630589924039499
"68","Firearm-Undermined","S4","Male","Monterey","Carmel Valley/Castroville/Marina/Moss Landing/Ord","108",1,0.7203,1.023,0.0259,5.895,1.023,0.057,0.007704,12745,0.95166732051785,0.944254749629136,2,0.172519741720251
"69","ALL Firearm","S","Total","Monterey","Carmel Valley/Castroville/Marina/Moss Landing/Ord","108",31,10.91,14.23,9.509,20.71,2.654,7.303,0.06097,12745,0.95166732051785,2.60933415649161,1,0.00453593036782163
"70","Firearm-Suicide","S2","Total","Monterey","Carmel Valley/Castroville/Marina/Moss Landing/Ord","108",18,6.338,6.61,3.812,10.88,1.629,3.784,0.04336,12745,0.95166732051785,1.73419240586597,2,0.0414419749783733
"71","Firearm-Homicide","S3","Total","Monterey","Carmel Valley/Castroville/Marina/Moss Landing/Ord","108",12,4.225,4.374,2.216,8.011,1.294,3.405,0.04217,12745,0.95166732051785,0.748443472759208,2,0.227096354506121
"72","Firearm-Undermined","S4","Total","Monterey","Carmel Valley/Castroville/Marina/Moss Landing/Ord","108",1,0.3521,0.5349,0.01354,2.98,0.5349,0.03476,0.004209,12745,0.95166732051785,0.934986945292135,2,0.174897513622908
"73","ALL Firearm","S","Female","Monterey","Aromas/Las Lomas/Pajaro/Prunedale","109.1",3,2.651,6.313,1.248,19.67,3.716,1.683,0.04131,12745,0.95166732051785,1.24588641865117,2,0.106403048417087
"74","Firearm-Suicide","S2","Female","Monterey","Aromas/Las Lomas/Pajaro/Prunedale","109.1",2,1.767,1.716,0.2058,7.769,1.217,0.7903,0.02782,12745,0.95166732051785,0.76044225929549,2,0.223495135553624
"75","Firearm-Homicide","S3","Female","Monterey","Aromas/Las Lomas/Pajaro/Prunedale","109.1",1,0.8835,0.5614,0.01421,5.953,0.5614,0.8687,0.03016,12745,0.95166732051785,-0.546593341147633,2,0.707670927578054
"76","ALL Firearm","S","Male","Monterey","Aromas/Las Lomas/Pajaro/Prunedale","109.1",9,7.812,10.7,4.77,21.47,3.665,13.14,0.1168,12745,0.95166732051785,-0.665419336464264,2,0.747108839695937
"77","Firearm-Suicide","S2","Male","Monterey","Aromas/Las Lomas/Pajaro/Prunedale","109.1",6,5.208,4.316,1.531,11.59,1.809,7.108,0.08629,12745,0.95166732051785,-1.54164126799636,2,0.938419604314548
"78","Firearm-Homicide","S3","Male","Monterey","Aromas/Las Lomas/Pajaro/Prunedale","109.1",3,2.604,2.737,0.5493,9.855,1.6,5.834,0.07741,12745,0.95166732051785,-1.93336356669555,2,0.973404286933208
"79","ALL Firearm","S","Total","Monterey","Aromas/Las Lomas/Pajaro/Prunedale","109.1",12,5.254,7.089,3.581,13.03,2.106,7.303,0.06097,12745,0.95166732051785,-0.101571878225323,2,0.540451749049006
"80","Firearm-Suicide","S2","Total","Monterey","Aromas/Las Lomas/Pajaro/Prunedale","109.1",8,3.503,2.97,1.25,6.732,1.077,3.784,0.04336,12745,0.95166732051785,-0.755191372672798,2,0.774932917793993
"81","Firearm-Homicide","S3","Total","Monterey","Aromas/Las Lomas/Pajaro/Prunedale","109.1",4,1.751,1.7,0.4402,5.209,0.8754,3.405,0.04217,12745,0.95166732051785,-1.94542512339187,2,0.974138083279656
"82","ALL Firearm","S","Female","Monterey","Salinas/Spreckels","109.2",5,1.288,2.438,0.7796,5.86,1.102,1.683,0.04131,12745,0.95166732051785,0.684637100143653,2,0.246786474838213
"83","Firearm-Suicide","S2","Female","Monterey","Salinas/Spreckels","109.2",1,0.2575,0.3078,0.007793,2.026,0.3078,0.7903,0.02782,12745,0.95166732051785,-1.56121242735341,2,0.940763181114748
"84","Firearm-Homicide","S3","Female","Monterey","Salinas/Spreckels","109.2",4,1.03,1.086,0.2897,3.119,0.5498,0.8687,0.03016,12745,0.95166732051785,0.39464129657238,2,0.346553815931954
"85","ALL Firearm","S","Male","Monterey","Salinas/Spreckels","109.2",122,31.31,33.28,27.5,40.3,3.086,13.14,0.1168,12745,0.95166732051785,6.52157816941432,1,3.47857298521603e-11
"86","Firearm-Suicide","S2","Male","Monterey","Salinas/Spreckels","109.2",16,4.106,5.405,3.027,9.236,1.394,7.108,0.08629,12745,0.95166732051785,-1.21933043385017,2,0.888640599029728
"87","Firearm-Homicide","S3","Male","Monterey","Salinas/Spreckels","109.2",106,27.2,25.57,20.89,31.4,2.511,5.834,0.07741,12745,0.95166732051785,7.85608453040404,1,1.99840144432528e-15
"88","ALL Firearm","S","Total","Monterey","Salinas/Spreckels","109.2",127,16.32,17.54,14.57,21.07,1.583,7.303,0.06097,12745,0.95166732051785,6.46204386589108,1,5.16490183954943e-11
"89","Firearm-Suicide","S2","Total","Monterey","Salinas/Spreckels","109.2",17,2.185,2.7,1.554,4.479,0.6677,3.784,0.04336,12745,0.95166732051785,-1.62007117829272,2,0.947391506086045
"90","Firearm-Homicide","S3","Total","Monterey","Salinas/Spreckels","109.2",110,14.14,13.62,11.17,16.6,1.313,3.405,0.04217,12745,0.95166732051785,7.77588391686075,1,3.77475828372553e-15
"91","ALL Firearm","S","Female","Butte","Berry Creek/Brownsville/Concow/Feather Falls/Forbestown","11",2,17.39,101.9,6.239,487.1,86.33,1.683,0.04131,11881,0.966921976264624,1.16085935974098,2,0.122849549184014
"92","Firearm-Suicide","S2","Female","Butte","Berry Creek/Brownsville/Concow/Feather Falls/Forbestown","11",2,17.39,20.54,1.258,108.7,17.41,0.7903,0.02782,11881,0.966921976264624,1.13438683433262,2,0.128316159593171
"93","ALL Firearm","S","Male","Butte","Berry Creek/Brownsville/Concow/Feather Falls/Forbestown","11",6,48.04,104.6,32.55,280.2,48.13,13.14,0.1168,11881,0.966921976264624,1.90026450632714,2,0.0286992083784877
"94","Firearm-Suicide","S2","Male","Butte","Berry Creek/Brownsville/Concow/Feather Falls/Forbestown","11",4,32.03,14.34,3.636,92.47,7.463,7.108,0.08629,11881,0.966921976264624,0.968982531266836,2,0.166276952540141
"95","Firearm-Homicide","S3","Male","Butte","Berry Creek/Brownsville/Concow/Feather Falls/Forbestown","11",2,16.01,11.36,0.8544,92.18,9.173,5.834,0.07741,11881,0.966921976264624,0.602398696557633,2,0.273454388718865
"96","ALL Firearm","S","Total","Butte","Berry Creek/Brownsville/Concow/Feather Falls/Forbestown","11",8,33.35,54.29,19.41,134.9,22.62,7.303,0.06097,11881,0.966921976264624,2.07722499187026,1,0.018890399125527
"97","Firearm-Suicide","S2","Total","Butte","Berry Creek/Brownsville/Concow/Feather Falls/Forbestown","11",6,25.01,15.12,4.232,51.34,7.44,3.784,0.04336,11881,0.966921976264624,1.52363003908809,2,0.0638005774502193
"98","Firearm-Homicide","S3","Total","Butte","Berry Creek/Brownsville/Concow/Feather Falls/Forbestown","11",2,8.337,5.582,0.4763,39.17,4.366,3.405,0.04217,11881,0.966921976264624,0.498602487369023,2,0.309029726246429
"99","ALL Firearm","S","Female","Monterey","Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside","110",4,1.664,3.524,0.8443,10.38,1.891,1.683,0.04131,12745,0.95166732051785,0.97332674106994,2,0.165195468037191
"100","Firearm-Suicide","S2","Female","Monterey","Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside","110",2,0.8321,0.4731,0.0568,2.85,0.3354,0.7903,0.02782,12745,0.95166732051785,-0.942499794554428,2,0.827031591869045
"101","Firearm-Homicide","S3","Female","Monterey","Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside","110",2,0.8321,1.031,0.1221,4.002,0.7341,0.8687,0.03016,12745,0.95166732051785,0.220900692459769,2,0.412584879116803
"102","ALL Firearm","S","Male","Monterey","Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside","110",23,9.902,11.35,6.993,17.75,2.498,13.14,0.1168,12745,0.95166732051785,-0.715791234713361,2,0.762939867224506
"103","Firearm-Suicide","S2","Male","Monterey","Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside","110",17,7.319,5.946,3.334,10.15,1.531,7.108,0.08629,12745,0.95166732051785,-0.757778410784532,2,0.775708175552676
"104","Firearm-Homicide","S3","Male","Monterey","Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside","110",6,2.583,2.967,1.071,6.709,1.227,5.834,0.07741,12745,0.95166732051785,-2.33195709668708,3,0.990148525853528
"105","ALL Firearm","S","Total","Monterey","Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside","110",27,5.713,6.293,3.996,9.596,1.308,7.303,0.06097,12745,0.95166732051785,-0.771333737040111,2,0.779745429894735
"106","Firearm-Suicide","S2","Total","Monterey","Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside","110",19,4.02,2.934,1.671,4.977,0.7377,3.784,0.04336,12745,0.95166732051785,-1.15024470216472,2,0.874978450323271
"107","Firearm-Homicide","S3","Total","Monterey","Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside","110",8,1.693,2.008,0.8608,4.062,0.7147,3.405,0.04217,12745,0.95166732051785,-1.95127261977701,2,0.974487687832935
"108","ALL Firearm","S","Female","Napa","Angwin/Deer Park/St. Helena","111.1",2,5.486,24.36,1.962,108.7,19.34,1.683,0.04131,6074,0.975963121501482,1.17254127553864,2,0.120489905343379
"109","Firearm-Suicide","S2","Female","Napa","Angwin/Deer Park/St. Helena","111.1",1,2.743,1.363,0.03451,19.38,1.363,0.7903,0.02782,6074,0.975963121501482,0.420088586171333,2,0.33721037022853
"110","Firearm-Homicide","S3","Female","Napa","Angwin/Deer Park/St. Helena","111.1",1,2.743,4.207,0.1065,25.39,4.207,0.8687,0.03016,6074,0.975963121501482,0.793490425000793,2,0.21374607285889
"111","ALL Firearm","S","Male","Napa","Angwin/Deer Park/St. Helena","111.1",2,5.937,31.69,3.156,131.7,23.76,13.14,0.1168,6074,0.975963121501482,0.780714472667663,2,0.217485223284347
"112","Firearm-Suicide","S2","Male","Napa","Angwin/Deer Park/St. Helena","111.1",2,5.937,5.717,0.5695,28.27,4.287,7.108,0.08629,6074,0.975963121501482,-0.324403616744362,2,0.627183759042406
"113","ALL Firearm","S","Total","Napa","Angwin/Deer Park/St. Helena","111.1",4,5.703,14.57,3.327,42.95,8.01,7.303,0.06097,6074,0.975963121501482,0.907214667859441,2,0.182146644304821
"114","Firearm-Suicide","S2","Total","Napa","Angwin/Deer Park/St. Helena","111.1",3,4.277,3.737,0.5917,14.87,2.408,3.784,0.04336,6074,0.975963121501482,-0.0195151088995576,2,0.507784907910162
"115","Firearm-Homicide","S3","Total","Napa","Angwin/Deer Park/St. Helena","111.1",1,1.426,2.221,0.05624,13.39,2.221,3.405,0.04217,6074,0.975963121501482,-0.532997136118741,2,0.702982218612339
"116","ALL Firearm","S","Male","Napa","Calistoga","111.2",5,28.79,75.52,24.33,183,33.96,13.14,0.1168,6074,0.975963121501482,1.83685603812772,2,0.0331155753285275
"117","Firearm-Suicide","S2","Male","Napa","Calistoga","111.2",5,28.79,22.26,7.17,159.5,10.01,7.108,0.08629,6074,0.975963121501482,1.5136300750906,2,0.0650598444140839
"118","ALL Firearm","S","Total","Napa","Calistoga","111.2",5,15.05,37.28,11.8,93.55,16.97,7.303,0.06097,6074,0.975963121501482,1.76645884065835,2,0.0386594504871173
"119","Firearm-Suicide","S2","Total","Napa","Calistoga","111.2",5,15.05,10.99,3.476,33.08,5.001,3.784,0.04336,6074,0.975963121501482,1.44085766148917,2,0.0748124496739371
"120","ALL Firearm","S","Female","Napa","Berryessa","111.3",2,48.96,261.4,31.66,944.4,184.9,1.683,0.04131,6074,0.975963121501482,1.4046349027476,2,0.0800649361481196
"121","Firearm-Suicide","S2","Female","Napa","Berryessa","111.3",1,24.48,17.63,NA,NA,NA,0.7903,0.02782,6074,0.975963121501482,NA,NA,NA
"122","Firearm-Homicide","S3","Female","Napa","Berryessa","111.3",1,24.48,17.63,NA,NA,NA,0.8687,0.03016,6074,0.975963121501482,NA,NA,NA
"123","ALL Firearm","S","Total","Napa","Berryessa","111.3",2,22.94,134.2,16.26,484.9,94.91,7.303,0.06097,6074,0.975963121501482,1.33702427369488,2,0.090607356794417
"124","Firearm-Suicide","S2","Total","Napa","Berryessa","111.3",1,11.47,9.049,0.2291,235.8,9.049,3.784,0.04336,6074,0.975963121501482,0.581825567253529,2,0.280342090339494
"125","Firearm-Homicide","S3","Total","Napa","Berryessa","111.3",1,11.47,9.049,0.2291,235.8,9.049,3.405,0.04217,6074,0.975963121501482,0.623708555061344,2,0.266409501835224
"126","ALL Firearm","S","Female","Napa","Napa Central","112.1",2,1.227,4.403,0.5318,16.13,3.116,1.683,0.04131,6074,0.975963121501482,0.872837291530648,2,0.191375885105835
"127","Firearm-Homicide","S3","Female","Napa","Napa Central","112.1",2,1.227,1.191,0.1438,4.804,0.8426,0.8687,0.03016,6074,0.975963121501482,0.382261727339068,2,0.351133620046641
