county,comName,Ndeaths 2008-2012,Ndeaths 2013-2017,Rate 2008-2012,Rate 2013-2017,Percent Change,pValue,Community 13-17 Compared to State 15-17
Los Angeles,Bell Southwest/Cudahy/Vernon,35,23,7.431,5.364,-27.815906338312477,0.11491010346343045,No Diff
Los Angeles,Bellflower/Paramount South,39,34,7.868,6.58,-16.370106761565836,0.22652510815285642,No Diff
Los Angeles,Belmont Shore/Long Beach East/Long Beach Shoreline/Los Altos/Naples,23,17,3.57,2.48,-30.53221288515406,0.12999157345476342,Lower
Los Angeles,Bixby Knolls/Long Beach Central,31,35,5.065,6.091,20.256663376110556,0.22947636135064253,No Diff
Los Angeles,Boyle Heights Central/City Terrace West,63,41,12.02,8.14,-32.279534109816964,0.026678557464852926,Higher
Los Angeles,Boyle Heights Northwest/Chinatown/Downtown Northwest/Little Tokyo/Westlake,35,30,6.799,4.869,-28.386527430504493,0.09901386809292367,No Diff
Los Angeles,Burbank North/North Hollywood South,10,10,1.379,1.64,18.926758520667143,0.35279814510176943,Lower
Los Angeles,Burbank South/Eagle Rock/Glendale Northwest,18,15,3.521,2.868,-18.545867651235444,0.27967838282357804,Lower
Los Angeles,Canoga Park Northeast/Winnetka,22,18,4.635,3.434,-25.91154261057173,0.1766918956746697,Lower
Los Angeles,Canyon Country/Santa Clarita West/Saugus,4,7,0.6397,1.037,62.10723776770359,0.2205232015788966,Lower
Los Angeles,Carson/Compton West/Rancho Dominguez,45,41,8.592,7.181,-16.422253258845444,0.20601057240472231,Higher
Los Angeles,Castaic/Val Verde,1,4,0.6247,3.439,450.50424203617735,0.07732159827509899,No Diff
Los Angeles,Century City/Cheviot Hills/Rancho Park/West Los Angeles/Westwood,7,5,0.8709,0.7722,-11.333103685842234,0.42060636696736553,Lower
Los Angeles,Cerritos/Hawaiian Gardens,16,23,2.848,4.009,40.76544943820227,0.14624809501424418,No Diff
Los Angeles,Chatsworth,24,11,4.717,2.187,-53.63578545685817,0.015958766816465797,Lower
Los Angeles,City Terrace East/East Los Angeles,30,48,5.818,9.51,63.45823306978344,0.01793651019957243,Higher
Los Angeles,Claremont/La Verne/Pomona Northwest/San Dimas,15,9,2.625,1.512,-42.4,0.10303903277107473,Lower
