"","year","GEOID","sex","raceName","lAge","population","deaths","life_expectancy","LE_lci","LE_uci"
"26",2013,"06001","TOTAL","Latino",50,93875,267,36.6226059208243,36.1856816328427,37.059530208806
"27",2013,"06001","TOTAL","Total",0,97047,390,82.3633635322264,82.2395974425071,82.4871296219458
"28",2013,"06001","TOTAL","Total",50,562050,1884,34.3897105637333,34.2784632857154,34.5009578417511
"29",2013,"06001","TOTAL","White",0,23180,72,81.4609796180767,81.2861569891553,81.6358022469982
"30",2013,"06001","TOTAL","White",50,225126,776,33.2711629189403,33.1292934540526,33.4130323838281
"31",2013,"06005","FEMALE","Total",0,644,0,84.0299406620076,83.3341929032279,84.7256884207873
"32",2013,"06005","FEMALE","Total",50,6937,35,34.0299406620076,33.3341929032279,34.7256884207872
"33",2013,"06005","FEMALE","White",0,449,0,83.8047686253713,83.0808611632523,84.5286760874903
"34",2013,"06005","FEMALE","White",50,5982,32,33.8047686253713,33.0808611632523,34.5286760874903
"35",2013,"06005","MALE","Total",0,734,0,80.0521203017634,79.2848408951771,80.8193997083497
"36",2013,"06005","MALE","Total",50,8340,47,31.4553957691028,30.7705690998048,32.1402224384008
"37",2013,"06005","MALE","White",0,513,0,80.2783820065779,79.5003413568522,81.0564226563036
"38",2013,"06005","MALE","White",50,6555,43,30.9532972724391,30.2350690527821,31.671525492096
"39",2013,"06005","TOTAL","Total",0,1378,7,81.0882137613286,80.4582878533091,81.7181396693481
"40",2013,"06005","TOTAL","Total",50,15277,82,32.7088268696684,32.2190298189254,33.1986239204115
"41",2013,"06005","TOTAL","White",0,962,0,81.4354737675869,80.8451095224659,82.0258380127078
"42",2013,"06005","TOTAL","White",50,12537,75,32.349219965217,31.8368897630496,32.8615501673844
"43",2013,"06007","FEMALE","Total",0,5887,26,81.4377908944579,81.0425762826659,81.8330055062499
"44",2013,"06007","FEMALE","Total",50,36376,163,33.383853577437,33.0596467164698,33.7080604384041
"45",2013,"06007","FEMALE","White",0,3611,0,81.5044751517323,81.1010435109573,81.9079067925074
"46",2013,"06007","FEMALE","White",50,29606,136,33.0815790450171,32.7426932127762,33.420464877258
"47",2013,"06007","MALE","Total",0,6273,31,75.8480646489604,75.4397026484169,76.256426649504
"48",2013,"06007","MALE","Total",50,34233,259,29.2995652556365,28.9854822582028,29.6136482530703
"49",2013,"06007","MALE","White",0,3804,18,75.3003748954883,74.833784922103,75.7669648688736
"50",2013,"06007","MALE","White",50,27440,223,28.9471916672759,28.6147366715972,29.2796466629546
"51",2013,"06007","TOTAL","Total",0,12160,57,78.5567843658796,78.2661087194952,78.847460012264
"52",2013,"06007","TOTAL","Total",50,70609,422,31.3810102108901,31.1523733689811,31.6096470527992
"53",2013,"06007","TOTAL","White",0,7415,31,78.1280272204528,77.8019083496748,78.4541460912309
"54",2013,"06007","TOTAL","White",50,57046,359,31.0583937046439,30.8179085640106,31.2988788452772
"55",2013,"06009","FEMALE","Total",0,847,0,84.3878732610478,83.590183618625,85.1855629034706
"56",2013,"06009","FEMALE","Total",50,9463,37,35.3481476897999,34.6348308528755,36.0614645267243
"57",2013,"06009","FEMALE","White",0,627,0,84.3361935534548,83.5661406136858,85.1062464932238
"58",2013,"06009","FEMALE","White",50,8031,35,34.9827126212547,34.2504719841238,35.7149532583855
"59",2013,"06009","MALE","Total",0,889,0,78.833643487491,77.959225451506,79.708061523476
"60",2013,"06009","MALE","Total",50,9045,41,31.6140182031272,30.9741148398479,32.2539215664065
"61",2013,"06009","MALE","White",0,645,0,78.3606364116267,77.39440081787,79.3268720053834
"62",2013,"06009","MALE","White",50,7723,31,31.3686590890376,30.7102313144702,32.027086863605
"63",2013,"06009","TOTAL","Total",0,1736,9,80.4056106679441,79.7075950507962,81.1036262850921
"64",2013,"06009","TOTAL","Total",50,18508,78,33.435589911347,32.9550603096116,33.9161195130824
