"","year","GEOID","sex","raceName","lAge","population","deaths","life_expectancy","LE_lci","LE_uci"
"92",2017,"6013","TOTAL","Black",50,36465.92476077,204,30.3096731300811,29.9345287148853,30.6848175452768
"93",2017,"6013","TOTAL","Latino",0,23513.0857636,89,85.0140140139175,84.576526374171,85.4515016536639
"94",2017,"6013","TOTAL","Latino",50,88210.6486997,196,36.9604286924018,36.529816600973,37.3910407838305
"95",2017,"6013","TOTAL","Total",0,64084.188448239,218,82.3706371000104,82.2380312428227,82.5032429571981
"96",2017,"6013","TOTAL","Total",50,412210.901101869,1237,34.5399025536608,34.4288695023867,34.6509356049349
"97",2017,"6013","TOTAL","White",0,19947.4119737,60,81.9224404474008,81.7435729004635,82.101307994338
"98",2017,"6013","TOTAL","White",50,203697.4340589,658,34.0238211906309,33.8941661597982,34.1534762214637
"99",2017,"6015","TOTAL","Total",0,1484.5057274506,0,80.4510547538901,79.5361545792255,81.3659549285547
"100",2017,"6015","TOTAL","Total",50,8547.0260221558,59,32.5996244808146,31.7454696012933,33.453779360336
"101",2017,"6015","TOTAL","White",0,824.495244872,0,79.0192810165256,78.0168097835732,80.021752249478
"102",2017,"6015","TOTAL","White",50,5946.38310045,47,31.4298805942008,30.568162617361,32.2915985710407
"103",2017,"6017","FEMALE","Total",0,3996.0577666566,13,84.2845050244686,83.8518352940144,84.7171747549228
"104",2017,"6017","FEMALE","Total",50,36543.6656330943,93,35.7948592222799,35.4409274479131,36.1487909966468
"105",2017,"6017","FEMALE","White",0,2626.68624721,10,83.7641721441316,83.2857916529555,84.2425526353077
"106",2017,"6017","FEMALE","White",50,29657.8833384,76,35.36399834208,35.0029177808305,35.7250789033294
"107",2017,"6017","MALE","Total",0,3999.0394474166,6,80.44481188083,79.9828205244182,80.9068032372418
"108",2017,"6017","MALE","Total",50,35052.4911485988,141,33.3080704195819,32.9526356519146,33.6635051872492
"109",2017,"6017","MALE","White",0,2628.67708759,0,79.9767543517435,79.4881127157537,80.4653959877332
"110",2017,"6017","MALE","White",50,28716.2781806,120,32.776546536881,32.4190258171104,33.1340672566515
"111",2017,"6017","TOTAL","Total",0,7995.0972140732,19,82.2783975317638,81.9572381911064,82.5995568724212
"112",2017,"6017","TOTAL","Total",50,71596.1567816931,234,34.557617644619,34.3058743429316,34.8093609463064
"113",2017,"6017","TOTAL","White",0,5255.3633348,15,81.5622705642062,81.2036836213456,81.9208575070669
"114",2017,"6017","TOTAL","White",50,58374.161519,196,34.0743712787189,33.8189862609577,34.32975629648
"115",2017,"6019","FEMALE","Asian",0,3729.38542734,30,84.5680239942438,83.8131062738633,85.3229417146242
"116",2017,"6019","FEMALE","Asian",50,13195.88761337,32,36.1625630295263,35.462884140647,36.8622419184057
"117",2017,"6019","FEMALE","Black",0,1953.48376179,22,76.5904882980364,75.5631219010009,77.6178546950718
"118",2017,"6019","FEMALE","Black",50,7293.98539736,52,30.1371605055191,29.2370158871925,31.0373051238456
"119",2017,"6019","FEMALE","Latino",0,24923.3699355,128,84.4467622818483,83.9990290486698,84.8944955150268
"120",2017,"6019","FEMALE","Latino",50,66171.2265364,222,36.3169049883377,35.877419590023,36.7563903866524
"121",2017,"6019","FEMALE","Total",0,40350.9035795798,216,81.9134669759112,81.7034678297476,82.1234661220749
