  Year          Age             Female            Male           Total
1935-1939       97             0.293448        0.306745        0.298437
1935-1939       98             0.288948        0.301324        0.293513
1935-1939       99             0.300632        0.309182        0.303729
1935-1939      100             0.390916        0.391076        0.390973
1935-1939      101             0.409090        0.406710        0.408252
1935-1939      102             0.427760        0.423112        0.426149
1935-1939      103             0.446067        0.439209        0.443724
1935-1939      104             0.463792        0.452683        0.460041
1935-1939      105             0.483388        0.464939        0.477241
1935-1939      106             0.505002        0.480404        0.496938
1935-1939      107             0.528307        0.500978        0.519500
1935-1939      108             0.556040        0.530924        0.548139
1935-1939      109             0.588795        0.588695        0.588765
1935-1939      110+            0.655324        0.755410        0.678164
1940-1944        0             0.042452        0.054028        0.048376
1940-1944        1             0.004535        0.005150        0.004848
1940-1944        2             0.002182        0.002621        0.002405
1940-1944        3             0.001570        0.001855        0.001714
1940-1944        4             0.001271        0.001477        0.001375
1940-1944        5             0.001072        0.001307        0.001191
1940-1944        6             0.000946        0.001228        0.001089
1940-1944        7             0.000840        0.001158        0.001001
1940-1944        8             0.000759        0.001098        0.000931
1940-1944        9             0.000705        0.001049        0.000879
1940-1944       10             0.000664        0.000988        0.000829
1940-1944       11             0.000668        0.000986        0.000829
1940-1944       12             0.000712        0.001035        0.000876
1940-1944       13             0.000793        0.001133        0.000965
1940-1944       14             0.000911        0.001278        0.001097
1940-1944       15             0.001061        0.001477        0.001271
1940-1944       16             0.001211        0.001681        0.001447
1940-1944       17             0.001350        0.001876        0.001613
1940-1944       18             0.001480        0.002245        0.001847
1940-1944       19             0.001604        0.002566        0.002054
1940-1944       20             0.001728        0.002810        0.002231
1940-1944       21             0.001829        0.002983        0.002365
1940-1944       22             0.001916        0.003102        0.002466
1940-1944       23             0.001985        0.003157        0.002528
1940-1944       24             0.002034        0.003132        0.002544
1940-1944       25             0.002053        0.003036        0.002512
1940-1944       26             0.002095        0.002978        0.002509
1940-1944       27             0.002154        0.002963        0.002535
1940-1944       28             0.002231        0.002993        0.002592
1940-1944       29             0.002330        0.003074        0.002683
1940-1944       30             0.002464        0.003217        0.002824
1940-1944       31             0.002600        0.003378        0.002973
1940-1944       32             0.002742        0.003557        0.003134
1940-1944       33             0.002890        0.003750        0.003306
1940-1944       34             0.003042        0.003956        0.003485
1940-1944       35             0.003175        0.004158        0.003652
1940-1944       36             0.003334        0.004392        0.003849
1940-1944       37             0.003517        0.004660        0.004075
1940-1944       38             0.003728        0.004967        0.004335
1940-1944       39             0.003969        0.005313        0.004630
1940-1944       40             0.004259        0.005705        0.004975
1940-1944       41             0.004554        0.006133        0.005340
1940-1944       42             0.004857        0.006609        0.005732
1940-1944       43             0.005167        0.007133        0.006152
1940-1944       44             0.005485        0.007707        0.006601
1940-1944       45             0.005798        0.008314        0.007064
1940-1944       46             0.006169        0.008983        0.007588
1940-1944       47             0.006600        0.009716        0.008175
1940-1944       48             0.007097        0.010526        0.008837
1940-1944       49             0.007672        0.011429        0.009585
1940-1944       50             0.008390        0.012525        0.010503
1940-1944       51             0.009131        0.013687        0.011464
1940-1944       52             0.009869        0.014855        0.012427
1940-1944       53             0.010606        0.016043        0.013400
1940-1944       54             0.011349        0.017272        0.014394
1940-1944       55             0.012115        0.018627        0.015458
1940-1944       56             0.012997        0.020071        0.016623
1940-1944       57             0.014017        0.021643        0.017920
1940-1944       58             0.015174        0.023321        0.019335
1940-1944       59             0.016463        0.025082        0.020855
1940-1944       60             0.017694        0.026594        0.022222
1940-1944       61             0.019000        0.028203        0.023668
1940-1944       62             0.020508        0.030072        0.025342
1940-1944       63             0.022249        0.032241        0.027279
1940-1944       64             0.024245        0.034736        0.029503
1940-1944       65             0.026507        0.037547        0.032015
1940-1944       66             0.029016        0.040537        0.034746
1940-1944       67             0.031668        0.043643        0.037605
1940-1944       68             0.034545        0.046946        0.040675
1940-1944       69             0.037773        0.050571        0.044083
1940-1944       70             0.042061        0.055225        0.048550
1940-1944       71             0.046879        0.060544        0.053605
1940-1944       72             0.051962        0.066080        0.058897
1940-1944       73             0.057242        0.071755        0.064352
1940-1944       74             0.062617        0.077455        0.069860
1940-1944       75             0.067744        0.083482        0.075358
1940-1944       76             0.073456        0.090006        0.081395
1940-1944       77             0.080489        0.097991        0.088815
1940-1944       78             0.089275        0.107894        0.098061
1940-1944       79             0.100143        0.120048        0.109461
1940-1944       80             0.103466        0.126639        0.114060
1940-1944       81             0.113784        0.138340        0.124914
1940-1944       82             0.124707        0.150824        0.136436
1940-1944       83             0.136443        0.164243        0.148805
1940-1944       84             0.148727        0.178034        0.161624
1940-1944       85             0.160841        0.191160        0.174031
1940-1944       86             0.173991        0.205163        0.187382
1940-1944       87             0.188988        0.221086        0.202589
1940-1944       88             0.205857        0.238856        0.219640
1940-1944       89             0.223467        0.257478        0.237456
1940-1944       90             0.239971        0.275407        0.254302
1940-1944       91             0.254185        0.289533        0.268232
1940-1944       92             0.265609        0.297919        0.278241
1940-1944       93             0.273930        0.300077        0.284019
1940-1944       94             0.281152        0.301019        0.288747
1940-1944       95             0.290888        0.310275        0.298246
1940-1944       96             0.296712        0.316503        0.304171
1940-1944       97             0.296110        0.313860        0.302759
1940-1944       98             0.291356        0.304072        0.296098
1940-1944       99             0.297713        0.305244        0.300509
1940-1944      100             0.384632        0.396069        0.388867
1940-1944      101             0.402865        0.410815        0.405797
1940-1944      102             0.420612        0.425028        0.422228
1940-1944      103             0.436499        0.438016        0.437048
1940-1944      104             0.450379        0.451785        0.450882
1940-1944      105             0.461240        0.469201        0.464043
1940-1944      106             0.466980        0.487537        0.474067
1940-1944      107             0.466302        0.511057        0.481156
1940-1944      108             0.454127        0.533005        0.479036
1940-1944      109             0.433181        0.520921        0.460341
1940-1944      110+            0.354900        0.373631        0.360624
1945-1949        0             0.033113        0.042801        0.038070
1945-1949        1             0.002703        0.003062        0.002886
1945-1949        2             0.001454        0.001779        0.001619
1945-1949        3             0.001110        0.001377        0.001245
1945-1949        4             0.000891        0.001116        0.001006
1945-1949        5             0.000777        0.001017        0.000899
1945-1949        6             0.000690        0.000942        0.000818
1945-1949        7             0.000627        0.000892        0.000762
1945-1949        8             0.000574        0.000847        0.000712
1945-1949        9             0.000536        0.000809        0.000674
1945-1949       10             0.000506        0.000764        0.000637
1945-1949       11             0.000516        0.000782        0.000652
1945-1949       12             0.000548        0.000837        0.000696
1945-1949       13             0.000602        0.000926        0.000767
1945-1949       14             0.000678        0.001051        0.000867
1945-1949       15             0.000772        0.001215        0.000996
1945-1949       16             0.000867        0.001376        0.001123
1945-1949       17             0.000960        0.001536        0.001249
1945-1949       18             0.001055        0.002024        0.001496
1945-1949       19             0.001154        0.002217        0.001636
1945-1949       20             0.001253        0.002363        0.001761
1945-1949       21             0.001322        0.002433        0.001834
1945-1949       22             0.001375        0.002453        0.001876
1945-1949       23             0.001413        0.002428        0.001888
1945-1949       24             0.001439        0.002373        0.001879
1945-1949       25             0.001449        0.002298        0.001850
1945-1949       26             0.001487        0.002276        0.001861
1945-1949       27             0.001541        0.002291        0.001897
1945-1949       28             0.001610        0.002340        0.001957
1945-1949       29             0.001687        0.002410        0.002031
1945-1949       30             0.001789        0.002514        0.002135
1945-1949       31             0.001891        0.002621        0.002241
1945-1949       32             0.002007        0.002756        0.002367
1945-1949       33             0.002141        0.002920        0.002517
1945-1949       34             0.002297        0.003127        0.002698
1945-1949       35             0.002459        0.003358        0.002893
1945-1949       36             0.002638        0.003614        0.003111
1945-1949       37             0.002821        0.003896        0.003343
1945-1949       38             0.003003        0.004200        0.003587
1945-1949       39             0.003183        0.004524        0.003840
1945-1949       40             0.003386        0.004889        0.004126
1945-1949       41             0.003631        0.005311        0.004462
1945-1949       42             0.003910        0.005773        0.004835
1945-1949       43             0.004222        0.006272        0.005243
1945-1949       44             0.004566        0.006807        0.005684
1945-1949       45             0.004924        0.007373        0.006148
1945-1949       46             0.005316        0.008039        0.006677
1945-1949       47             0.005730        0.008783        0.007257
1945-1949       48             0.006175        0.009617        0.007898
1945-1949       49             0.006664        0.010557        0.008616
1945-1949       50             0.007219        0.011611        0.009428
1945-1949       51             0.007805        0.012731        0.010286
1945-1949       52             0.008441        0.013911        0.011199
1945-1949       53             0.009128        0.015167        0.012175
1945-1949       54             0.009865        0.016505        0.013215
1945-1949       55             0.010635        0.017923        0.014306
1945-1949       56             0.011456        0.019286        0.015403
1945-1949       57             0.012371        0.020746        0.016597
1945-1949       58             0.013391        0.022322        0.017901
1945-1949       59             0.014539        0.024056        0.019345
1945-1949       60             0.015789        0.025853        0.020874
1945-1949       61             0.016991        0.027598        0.022336
1945-1949       62             0.018271        0.029394        0.023854
1945-1949       63             0.019652        0.031245        0.025443
1945-1949       64             0.021163        0.033162        0.027126
1945-1949       65             0.022837        0.035265        0.028974
1945-1949       66             0.025010        0.037923        0.031355
1945-1949       67             0.027487        0.040836        0.034021
1945-1949       68             0.030291        0.044022        0.036991
1945-1949       69             0.033374        0.047388        0.040192
1945-1949       70             0.037006        0.051184        0.043894
1945-1949       71             0.041174        0.055660        0.048195
1945-1949       72             0.045744        0.060644        0.052945
1945-1949       73             0.050863        0.066333        0.058312
1945-1949       74             0.056853        0.073114        0.064650
1945-1949       75             0.063404        0.080842        0.071711
1945-1949       76             0.069225        0.087544        0.077893
1945-1949       77             0.075143        0.094268        0.084124
1945-1949       78             0.081052        0.100777        0.090242
1945-1949       79             0.087095        0.107051        0.096317
1945-1949       80             0.091900        0.115500        0.102501
1945-1949       81             0.101077        0.125336        0.111873
1945-1949       82             0.111354        0.136372        0.122380
1945-1949       83             0.122755        0.148792        0.134108
1945-1949       84             0.134901        0.162261        0.146688
1945-1949       85             0.147608        0.176412        0.159860
1945-1949       86             0.161001        0.191226        0.173693
1945-1949       87             0.175603        0.207687        0.188885
1945-1949       88             0.191826        0.226331        0.205887
1945-1949       89             0.208844        0.245914        0.223693
1945-1949       90             0.223615        0.262373        0.238859
1945-1949       91             0.236202        0.274361        0.250934
1945-1949       92             0.247751        0.282060        0.260775
1945-1949       93             0.259407        0.286127        0.269427
1945-1949       94             0.272343        0.291227        0.279380
1945-1949       95             0.288235        0.307697        0.295448
1945-1949       96             0.297347        0.320346        0.305816
1945-1949       97             0.295455        0.320940        0.304774
1945-1949       98             0.285833        0.311813        0.295267
1945-1949       99             0.285601        0.311366        0.294884
1945-1949      100             0.349447        0.372232        0.357603
1945-1949      101             0.354281        0.374052        0.361330
1945-1949      102             0.351004        0.367690        0.356945
1945-1949      103             0.343636        0.355757        0.347962
1945-1949      104             0.332006        0.338748        0.334421
1945-1949      105             0.315570        0.317501        0.316267
1945-1949      106             0.296469        0.294637        0.295803
1945-1949      107             0.271213        0.267825        0.269979
1945-1949      108             0.237548        0.236942        0.237329
1945-1949      109             0.201107        0.211210        0.204636
1945-1949      110+            0.076669        0.091979        0.081151
1950-1954        0             0.027107        0.035370        0.031314
1950-1954        1             0.002080        0.002395        0.002241
1950-1954        2             0.001174        0.001423        0.001301
1950-1954        3             0.000889        0.001065        0.000978
1950-1954        4             0.000713        0.000875        0.000796
1950-1954        5             0.000610        0.000785        0.000699
1950-1954        6             0.000535        0.000714        0.000626
1950-1954        7             0.000468        0.000645        0.000559
1950-1954        8             0.000431        0.000621        0.000528
1950-1954        9             0.000390        0.000578        0.000486
1950-1954       10             0.000365        0.000549        0.000459
1950-1954       11             0.000367        0.000569        0.000470
1950-1954       12             0.000392        0.000638        0.000518
1950-1954       13             0.000436        0.000747        0.000594
1950-1954       14             0.000495        0.000890        0.000695
1950-1954       15             0.000577        0.001097        0.000839
1950-1954       16             0.000652        0.001274        0.000965
1950-1954       17             0.000717        0.001428        0.001075
1950-1954       18             0.000769        0.001641        0.001197
1950-1954       19             0.000813        0.001786        0.001287
1950-1954       20             0.000840        0.001941        0.001364
1950-1954       21             0.000856        0.002015        0.001401
1950-1954       22             0.000894        0.002094        0.001453
1950-1954       23             0.000914        0.002041        0.001444
1950-1954       24             0.000958        0.002010        0.001458
1950-1954       25             0.001017        0.001977        0.001480
1950-1954       26             0.001047        0.001907        0.001466
1950-1954       27             0.001082        0.001876        0.001471
1950-1954       28             0.001179        0.001994        0.001575
1950-1954       29             0.001226        0.002015        0.001610
1950-1954       30             0.001275        0.002041        0.001647
1950-1954       31             0.001362        0.002119        0.001731
1950-1954       32             0.001485        0.002283        0.001873
1950-1954       33             0.001576        0.002379        0.001967
1950-1954       34             0.001691        0.002507        0.002089
1950-1954       35             0.001837        0.002695        0.002256
1950-1954       36             0.001970        0.002877        0.002414
1950-1954       37             0.002125        0.003110        0.002608
1950-1954       38             0.002315        0.003419        0.002856
1950-1954       39             0.002538        0.003778        0.003147
1950-1954       40             0.002800        0.004228        0.003503
1950-1954       41             0.003050        0.004653        0.003842
1950-1954       42             0.003305        0.005118        0.004202
1950-1954       43             0.003556        0.005597        0.004567
1950-1954       44             0.003812        0.006111        0.004952
1950-1954       45             0.004065        0.006647        0.005345
1950-1954       46             0.004429        0.007347        0.005876
1950-1954       47             0.004809        0.008053        0.006419
1950-1954       48             0.005212        0.008749        0.006973
1950-1954       49             0.005864        0.009876        0.007862
1950-1954       50             0.006432        0.010869        0.008642
1950-1954       51             0.006943        0.011827        0.009373
1950-1954       52             0.007504        0.012909        0.010194
1950-1954       53             0.008163        0.014226        0.011180
1950-1954       54             0.008787        0.015547        0.012152
1950-1954       55             0.009347        0.016823        0.013066
1950-1954       56             0.010031        0.018236        0.014113
1950-1954       57             0.010769        0.019645        0.015184
1950-1954       58             0.011416        0.020773        0.016070
1950-1954       59             0.012268        0.022191        0.017200
1950-1954       60             0.013614        0.024361        0.018953
1950-1954       61             0.014978        0.026420        0.020661
1950-1954       62             0.016318        0.028406        0.022311
1950-1954       63             0.017844        0.030721        0.024204
1950-1954       64             0.019592        0.033351        0.026357
1950-1954       65             0.021334        0.035945        0.028476
1950-1954       66             0.022987        0.038422        0.030469
1950-1954       67             0.024683        0.040672        0.032381
1950-1954       68             0.027048        0.043720        0.035027
1950-1954       69             0.029563        0.046439        0.037614
1950-1954       70             0.032862        0.050103        0.041054
1950-1954       71             0.036719        0.054260        0.045033
1950-1954       72             0.041471        0.059402        0.049960
1950-1954       73             0.045847        0.064069        0.054446
1950-1954       74             0.051095        0.070079        0.060008
1950-1954       75             0.055994        0.075457        0.065089
1950-1954       76             0.061526        0.081648        0.070876
1950-1954       77             0.067580        0.088304        0.077152
1950-1954       78             0.073793        0.095285        0.083636
1950-1954       79             0.080863        0.103251        0.091015
1950-1954       80             0.085682        0.112295        0.097371
1950-1954       81             0.094344        0.121887        0.106320
1950-1954       82             0.104054        0.132696        0.116369
1950-1954       83             0.114715        0.144294        0.127281
1950-1954       84             0.126895        0.156654        0.139398
1950-1954       85             0.140856        0.171180        0.153448
1950-1954       86             0.153399        0.188446        0.167752
1950-1954       87             0.164898        0.201256        0.179559
1950-1954       88             0.174403        0.209707        0.188422
1950-1954       89             0.188924        0.226812        0.203727
1950-1954       90             0.216170        0.247740        0.228313
1950-1954       91             0.221331        0.259063        0.235618
1950-1954       92             0.246950        0.285476        0.261251
1950-1954       93             0.263700        0.304028        0.278354
1950-1954       94             0.286112        0.313508        0.295889
1950-1954       95             0.303363        0.337563        0.315410
1950-1954       96             0.317814        0.352727        0.329964
1950-1954       97             0.327672        0.351864        0.336027
1950-1954       98             0.341460        0.363086        0.348910
1950-1954       99             0.294304        0.312979        0.300736
1950-1954      100             0.384478        0.401109        0.390200
1950-1954      101             0.347793        0.341887        0.345752
1950-1954      102             0.334795        0.353221        0.341203
1950-1954      103             0.329726        0.325774        0.328356
1950-1954      104             0.299214        0.286799        0.294903
1950-1954      105             0.283004        0.278993        0.281593
1950-1954      106             0.206898        0.200464        0.204602
1950-1954      107             0.194489        0.195346        0.194795
1950-1954      108             0.240467        0.162602        0.211936
1950-1954      109             0.149389        0.096222        0.128920
1950-1954      110+            0.154196        0.142432        0.149969
1955-1959        0             0.024243        0.031564        0.027968
1955-1959        1             0.001726        0.001935        0.001832
1955-1959        2             0.000966        0.001191        0.001080
1955-1959        3             0.000740        0.000900        0.000821
1955-1959        4             0.000621        0.000727        0.000675
1955-1959        5             0.000529        0.000658        0.000595
1955-1959        6             0.000460        0.000613        0.000538
