ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,GEOID,geotypevalue06,geoname,county,county_fips,region_name,region_code,Poverty,TotalPop,NumPov,percent,LL_95CI_percent,UL_95CI_percent,percent_SE,percent_RSE,place_decile,CA_RR,ConcentratedCT,version_pov
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001406500,06001406500,4065.00,Alameda,06001,,,Overall,5564,1046.032,18.8,9.8638298,27.7361702,4.5592705,24.2514389,,1.3722628,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001406601,06001406601,4066.01,Alameda,06001,,,Overall,4460,811.72,18.2,10.3361702,26.0638298,4.0121581,22.0448245,,1.3284672,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001406602,06001406602,4066.02,Alameda,06001,,,Overall,2434,328.59,13.5,0,30.1808511,8.5106383,63.0417652,,0.9854015,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001406700,06001406700,4067.00,Alameda,06001,,,Overall,4822,458.09,9.5,4.9723404,14.0276596,2.3100304,24.3161094,,0.6934307,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001406800,06001406800,4068.00,Alameda,06001,,,Overall,3596,208.568,5.8,2.3446809,9.2553191,1.7629179,30.3951368,,0.4233577,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001406900,06001406900,4069.00,Alameda,06001,,,Overall,4174,596.882,14.3,5.2446809,23.3553191,4.6200608,32.3081174,,1.0437956,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001407000,06001407000,4070.00,Alameda,06001,,,Overall,5921,1527.618,25.8,16.0297872,35.5702128,4.9848024,19.3209397,,1.8832117,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001407101,06001407101,4071.01,Alameda,06001,,,Overall,3851,1128.343,29.3,17.6234043,40.9765957,5.9574468,20.332583,,2.1386861,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001407102,06001407102,4071.02,Alameda,06001,,,Overall,4434,1392.276,31.4,19.0085106,43.7914894,6.3221884,20.1343581,,2.2919708,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001407200,06001407200,4072.00,Alameda,06001,,,Overall,5636,1493.54,26.5,14.2276596,38.7723404,6.2613982,23.6279176,,1.9343066,no,1/22/2014 12:04
