year,county,Ndeaths,GEOID
2005,Contra Costa,28,6013313204
2005,Contra Costa,5,6013313205
2005,Contra Costa,24,6013313206
2005,Contra Costa,29,6013314102
2005,Contra Costa,19,6013314103
2005,Contra Costa,38,6013314104
2005,Contra Costa,22,6013314200
2005,Contra Costa,10,6013315000
2005,Contra Costa,6,6013316000
2005,Contra Costa,7,6013317000
2005,Contra Costa,37,6013318000
2005,Contra Costa,55,6013319000
2005,Contra Costa,20,6013320001
2005,Contra Costa,10,6013320003
2005,Contra Costa,31,6013320004
2005,Contra Costa,44,6013321101
2005,Contra Costa,27,6013321102
2005,Contra Costa,25,6013321103
2005,Contra Costa,35,6013321200
2005,Contra Costa,56,6013322000
2005,Contra Costa,35,6013323000
2005,Contra Costa,32,6013324001
2005,Contra Costa,50,6013324002
2005,Contra Costa,74,6013325000
2005,Contra Costa,26,6013326000
2005,Contra Costa,65,6013327000
2005,Contra Costa,27,6013328000
2005,Contra Costa,42,6013329000
2005,Contra Costa,30,6013330000
2005,Contra Costa,59,6013331000
2005,Contra Costa,65,6013332000
2005,Contra Costa,27,6013333101
2005,Contra Costa,18,6013333102
2005,Contra Costa,39,6013333200
2005,Contra Costa,57,6013334001
2005,Contra Costa,46,6013334004
2005,Contra Costa,25,6013334006
2005,Contra Costa,93,6013334200
2005,Contra Costa,29,6013335000
2005,Contra Costa,9,6013336101
2005,Contra Costa,19,6013336102
2005,Contra Costa,19,6013336201
2005,Contra Costa,9,6013336202
2005,Contra Costa,20,6013337100
2005,Contra Costa,68,6013337200
2005,Contra Costa,32,6013337300
2005,Contra Costa,41,6013338101
2005,Contra Costa,28,6013338102
2005,Contra Costa,34,6013338201
2005,Contra Costa,20,6013338203
2005,Contra Costa,39,6013338204
2005,Contra Costa,25,6013338301
2005,Contra Costa,40,6013338302
2005,Contra Costa,13,6013339001
2005,Contra Costa,42,6013339002
2005,Contra Costa,46,6013340001
2005,Contra Costa,31,6013340002
2005,Contra Costa,35,6013341000
2005,Contra Costa,42,6013343001
2005,Contra Costa,49,6013343002
2005,Contra Costa,31,6013343003
2005,Contra Costa,21,6013345101
2005,Contra Costa,18,6013345102
2005,Contra Costa,40,6013345103
2005,Contra Costa,33,6013345105
2005,Contra Costa,13,6013345108
2005,Contra Costa,12,6013345111
2005,Contra Costa,10,6013345112
2005,Contra Costa,16,6013345113
2005,Contra Costa,41,6013345114
2005,Contra Costa,12,6013345115
2005,Contra Costa,11,6013345116
2005,Contra Costa,28,6013345202
2005,Contra Costa,51,6013345203
2005,Contra Costa,32,6013345204
2005,Contra Costa,25,6013346101
2005,Contra Costa,28,6013346102
2005,Contra Costa,52,6013346201
