comID,yearG,sex,CAUSE,Ndeaths,YLL,mean.age,Level,county,pop,YLLper,cDeathRate,rateLCI,rateUCI,comName,oDeaths,aRate,aLCI,aUCI,aSE,YLL.adj.rate
157,2013-2017,Total,D01,13,132,68.62,lev2,San Diego,19410,136,13.4,6.115,20.68,Dulzura/Engineer Springs/Indian Springs/Jamacha/Jamul,13,14.37,7.287,27.42,4.25,118.8
157,2013-2017,Total,E02,12,290,51.5,lev2,San Diego,19410,298.9,12.37,5.37,19.36,Dulzura/Engineer Springs/Indian Springs/Jamacha/Jamul,12,12.49,6.302,24.53,3.715,347.6
158.1,2013-2017,Total,0,786,7180,71.33,lev0,San Diego,26280,5465,598.2,556.4,640,Ramona/Rock Haven/Rosemont,786,562.7,523,605,20.62,5001
158.1,2013-2017,Total,D01,18,89,74.61,lev2,San Diego,26280,67.74,13.7,7.371,20.03,Ramona/Rock Haven/Rosemont,18,12.88,7.489,21.14,3.135,45.13
158.1,2013-2017,Total,E02,15,440,45.67,lev2,San Diego,26280,334.9,11.42,5.639,17.19,Ramona/Rock Haven/Rosemont,15,10.26,5.56,17.85,2.776,329.9
158.2,2013-2017,Total,0,285,2375,72.69,lev0,San Diego,11110,4276,513.1,453.5,572.7,Ballena/Four Corners/San Diego Country Estates,285,519.5,458.5,587.8,32.09,4333
158.2,2013-2017,Total,E02,12,388,42.67,lev2,San Diego,11110,698.5,21.6,9.381,33.83,Ballena/Four Corners/San Diego Country Estates,12,23.45,11.6,44.08,7.15,844.1
159,2013-2017,Total,0,280,2734,69.13,lev0,San Diego,7219,7574,775.7,684.9,866.6,Buckman Springs/Canyon City/Jacumba/Morena Village/Tecate,280,665,578.8,762,45.47,7297
16.1,2013-2017,Total,0,159,995,76.19,lev0,Colusa,6226,3196,510.8,431.4,590.2,Williams,159,776.7,654.7,916.9,64.93,2905
16.2,2013-2017,Total,0,91,563,75.66,lev0,Colusa,2346,4800,775.8,616.4,935.2,Loduga/Maxwell/Princeton/Stonyford,91,457.8,362.3,584.5,51.6,4744
16.3,2013-2017,Total,0,121,1254,70.32,lev0,Colusa,5175,4846,467.6,384.3,551,Arbuckle/Grimes,121,670.7,547.2,816.7,66.26,4794
160,2013-2017,Total,0,2142,15810,75.1,lev0,San Diego,89910,3517,476.5,456.3,496.6,Bonsall/Camp Pendleton/Fallbrook/Live Oak Park/Rainbow/San Luis Rey Heights/Winterwarm,2142,537,NA,NA,NA,3972
160,2013-2017,Total,D01,29,186,72.62,lev2,San Diego,89910,41.37,6.451,4.103,8.799,Bonsall/Camp Pendleton/Fallbrook/Live Oak Park/Rainbow/San Luis Rey Heights/Winterwarm,29,8.338,5.538,12.27,1.577,61.33
160,2013-2017,Total,D10,29,97,79.28,lev2,San Diego,89910,21.58,6.451,4.103,8.799,Bonsall/Camp Pendleton/Fallbrook/Live Oak Park/Rainbow/San Luis Rey Heights/Winterwarm,29,7.325,4.857,10.88,1.391,31.05
