GEOID,COUNTYFP,ALAND,AWATER,GEOID_0,county
6001425103,1,882684,0,06001425103,Alameda
6001444602,1,5386831,0,06001444602,Alameda
6001450200,1,1620535,0,06001450200,Alameda
6001450400,1,3155427,0,06001450400,Alameda
6001450603,1,3974016,0,06001450603,Alameda
6001450604,1,2113004,0,06001450604,Alameda
6001426100,1,3043956,0,06001426100,Alameda
6001427100,1,1025446,168187,06001427100,Alameda
6001427200,1,1329667,650377,06001427200,Alameda
6001427800,1,831152,0,06001427800,Alameda
6001450701,1,266235362,2841807,06001450701,Alameda
6001450741,1,2097855,0,06001450741,Alameda
6001450745,1,7311185,0,06001450745,Alameda
6001450751,1,9974160,0,06001450751,Alameda
6001400400,1,714729,0,06001400400,Alameda
6001401400,1,758241,0,06001401400,Alameda
6001403702,1,200813,0,06001403702,Alameda
6001403800,1,652449,0,06001403800,Alameda
6001404800,1,628405,0,06001404800,Alameda
6001441503,1,77514889,12542576,06001441503,Alameda
6001405901,1,452588,0,06001405901,Alameda
6001406602,1,414724,0,06001406602,Alameda
6001407700,1,918668,0,06001407700,Alameda
6001409000,1,16927915,4382424,06001409000,Alameda
6001421400,1,474780,0,06001421400,Alameda
6001422700,1,348098,0,06001422700,Alameda
6001423100,1,748653,0,06001423100,Alameda
6001423902,1,309231,0,06001423902,Alameda
6001427300,1,1953880,861367,06001427300,Alameda
6001428600,1,898967,1080420,06001428600,Alameda
6001432300,1,1044683,0,06001432300,Alameda
6001432600,1,1673449,0,06001432600,Alameda
6001433103,1,690662,0,06001433103,Alameda
6001435104,1,7240706,0,06001435104,Alameda
6001436300,1,1831137,0,06001436300,Alameda
6001437101,1,49031968,7227924,06001437101,Alameda
6001440306,1,674880,0,06001440306,Alameda
6001440308,1,1838209,0,06001440308,Alameda
6001441302,1,1994667,0,06001441302,Alameda
6001441800,1,2038968,0,06001441800,Alameda
6001442301,1,1429049,0,06001442301,Alameda
6001444601,1,3055836,0,06001444601,Alameda
6001450605,1,1777873,0,06001450605,Alameda
6001450750,1,1661235,0,06001450750,Alameda
6001451703,1,1704816,0,06001451703,Alameda
6001982000,1,1269350,269265,06001982000,Alameda
6001450601,1,50162719,0,06001450601,Alameda
6001405302,1,203809,0,06001405302,Alameda
6001404400,1,4119675,0,06001404400,Alameda
6001406000,1,2112633,467979,06001406000,Alameda
6001435400,1,1328739,0,06001435400,Alameda
6001444301,1,2576474,0,06001444301,Alameda
6001435700,1,1330960,0,06001435700,Alameda
6001437200,1,2554599,0,06001437200,Alameda
6001441521,1,1711305,0,06001441521,Alameda
6001442500,1,1959819,0,06001442500,Alameda
6001443322,1,1148283,0,06001443322,Alameda
6001450602,1,6218730,0,06001450602,Alameda
6001451300,1,12696143,0,06001451300,Alameda
6001422200,1,675011,0,06001422200,Alameda
6001437900,1,673868,0,06001437900,Alameda
6001450744,1,2638937,0,06001450744,Alameda
6001441522,1,1307238,0,06001441522,Alameda
6001430101,1,25483199,0,06001430101,Alameda
6001431000,1,954200,0,06001431000,Alameda
6001436401,1,3116599,0,06001436401,Alameda
6001437300,1,1027863,0,06001437300,Alameda
6001438201,1,994909,0,06001438201,Alameda
6001441401,1,1888871,0,06001441401,Alameda
6001441925,1,3003363,264744,06001441925,Alameda
6001403701,1,173947,0,06001403701,Alameda
6001442302,1,963012,0,06001442302,Alameda
6001420200,1,463184,0,06001420200,Alameda
6001425101,1,599623,2099471,06001425101,Alameda
6001428200,1,1362068,804737,06001428200,Alameda
6001432400,1,6433666,1385676,06001432400,Alameda
6001433102,1,1433684,0,06001433102,Alameda
6001427900,1,825214,0,06001427900,Alameda
6001450743,1,4333267,0,06001450743,Alameda
6001451202,1,45822068,0,06001451202,Alameda
6001404900,1,1011185,0,06001404900,Alameda
6001405800,1,519054,0,06001405800,Alameda
6001407600,1,1022712,0,06001407600,Alameda
6001408600,1,1061441,0,06001408600,Alameda
6001420300,1,1301534,1111343,06001420300,Alameda
6001421600,1,1333471,0,06001421600,Alameda
6001423901,1,395614,0,06001423901,Alameda
6003010000,3,1912292633,12557304,06003010000,Alpine
6005000102,5,456209390,7940832,06005000102,Amador
6005000200,5,323089508,190300,06005000200,Amador
6005000303,5,136300639,765095,06005000303,Amador
6005000402,5,73229384,27768,06005000402,Amador
6005000500,5,108429681,4806943,06005000500,Amador
6005000101,5,63018557,0,06005000101,Amador
6005000401,5,42398487,19726,06005000401,Amador
6005000301,5,195548870,259011,06005000301,Amador
6005000304,5,141709060,15460893,06005000304,Amador
6007000501,7,5453172,0,06007000501,Butte
6007000903,7,5927882,0,06007000903,Butte
6007002900,7,6395474,0,06007002900,Butte
6007001600,7,558529223,185662,06007001600,Butte
6007002400,7,1106587625,45223857,06007002400,Butte
6007002800,7,4245047,28959,06007002800,Butte
6007000201,7,3454082,0,06007000201,Butte
6007001704,7,325483024,3681154,06007001704,Butte
6007003300,7,308476511,1494757,06007003300,Butte
6007000202,7,1716919,0,06007000202,Butte
6007002500,7,129193258,13088916,06007002500,Butte
6007002602,7,18244928,7521121,06007002602,Butte
6007003501,7,29807297,0,06007003501,Butte
6007003700,7,106790827,18646084,06007003700,Butte
6007000401,7,4452415,0,06007000401,Butte
6007000402,7,6244233,0,06007000402,Butte
6007000603,7,1107966,0,06007000603,Butte
6007000604,7,1016929,0,06007000604,Butte
6007000700,7,3147238,0,06007000700,Butte
6007000800,7,3905958,0,06007000800,Butte
6007001000,7,2473776,0,06007001000,Butte
6007001100,7,6665196,0,06007001100,Butte
6007001300,7,4039929,55557,06007001300,Butte
6007001400,7,317296661,7398140,06007001400,Butte
6007002200,7,136512886,32728,06007002200,Butte
6007001703,7,3830135,1351,06007001703,Butte
6007000300,7,2498778,0,06007000300,Butte
6007000104,7,2551611,0,06007000104,Butte
6007001500,7,350730010,3546626,06007001500,Butte
6007001800,7,12104622,3274,06007001800,Butte
6007001900,7,8762619,3065,06007001900,Butte
6007002300,7,75532174,2019287,06007002300,Butte
6007003100,7,12324357,0,06007003100,Butte
6007002601,7,20082980,38288,06007002601,Butte
6007003400,7,39266885,497864,06007003400,Butte
6007003502,7,122124051,170793,06007003502,Butte
6007003200,7,39386032,37114,06007003200,Butte
6007000502,7,1145106,0,06007000502,Butte
6007000901,7,16597115,22091,06007000901,Butte
6007001200,7,8658943,0,06007001200,Butte
6007002000,7,7168117,2216,06007002000,Butte
6007002700,7,13027059,341514,06007002700,Butte
6007003002,7,16689827,294750,06007003002,Butte
6007000102,7,2659213,0,06007000102,Butte
6007001702,7,34432019,1508,06007001702,Butte
6007000103,7,3098179,0,06007000103,Butte
6007000601,7,1807986,0,06007000601,Butte
6007000904,7,4363875,81917,06007000904,Butte
6007003600,7,330874028,897541,06007003600,Butte
6007002100,7,9231260,9678,06007002100,Butte
6007003001,7,2307906,0,06007003001,Butte
6009000121,9,154689205,1833209,06009000121,Calaveras
6009000400,9,463875178,840311,06009000400,Calaveras
6009000504,9,360658277,1950398,06009000504,Calaveras
6009000122,9,162333166,129382,06009000122,Calaveras
6009000300,9,457028677,394122,06009000300,Calaveras
6009000120,9,430654406,9401160,06009000120,Calaveras
6009000210,9,245142633,20534142,06009000210,Calaveras
6009000501,9,63832941,61625,06009000501,Calaveras
6009000220,9,256933181,8532884,06009000220,Calaveras
6009000503,9,46673170,128793,06009000503,Calaveras
6011000300,11,952735747,195376,06011000300,Colusa
6011000400,11,1075612030,7687727,06011000400,Colusa
6011000500,11,170218426,4285286,06011000500,Colusa
6011000100,11,565822059,1560787,06011000100,Colusa
6011000200,11,215984495,851867,06011000200,Colusa
6013359103,13,2593523,1170833,06013359103,Contra Costa
6013366001,13,1017166,0,06013366001,Contra Costa
6013374000,13,992095,0,06013374000,Contra Costa
6013388000,13,659857,0,06013388000,Contra Costa
6013302005,13,3569410,0,06013302005,Contra Costa
6013303204,13,2079622,0,06013303204,Contra Costa
6013306003,13,1792594,0,06013306003,Contra Costa
6013312000,13,1408549,0,06013312000,Contra Costa
6013323000,13,1917326,0,06013323000,Contra Costa
6013333102,13,1955676,0,06013333102,Contra Costa
6013336202,13,687658,0,06013336202,Contra Costa
6013345115,13,15973965,0,06013345115,Contra Costa
6013353002,13,5090525,0,06013353002,Contra Costa
6013355111,13,2459848,0,06013355111,Contra Costa
6013302006,13,6150645,8208344,06013302006,Contra Costa
6013303202,13,3676386,0,06013303202,Contra Costa
6013306002,13,7511091,1806211,06013306002,Contra Costa
6013308002,13,3938501,0,06013308002,Contra Costa
6013313205,13,1491475,0,06013313205,Contra Costa
6013317000,13,1623010,0,06013317000,Contra Costa
6013324001,13,1537166,0,06013324001,Contra Costa
6013333101,13,1913633,0,06013333101,Contra Costa
6013336101,13,699015,0,06013336101,Contra Costa
6013338201,13,3687156,0,06013338201,Contra Costa
6013339002,13,2208910,0,06013339002,Contra Costa
6013345101,13,2148620,0,06013345101,Contra Costa
6013345116,13,1274878,0,06013345116,Contra Costa
6013346203,13,2868285,0,06013346203,Contra Costa
6013358000,13,6875372,4058596,06013358000,Contra Costa
6013359104,13,625622,0,06013359104,Contra Costa
6013360200,13,2245680,0,06013360200,Contra Costa
6013366002,13,1033959,0,06013366002,Contra Costa
6013375000,13,655840,0,06013375000,Contra Costa
6013383000,13,1344741,0,06013383000,Contra Costa
6013387000,13,801387,0,06013387000,Contra Costa
6013337300,13,4373700,0,06013337300,Contra Costa
6013352201,13,6926353,0,06013352201,Contra Costa
6013368002,13,658846,0,06013368002,Contra Costa
6013373000,13,827433,0,06013373000,Contra Costa
6013389200,13,246589,0,06013389200,Contra Costa
6013329000,13,2706794,0,06013329000,Contra Costa
6013345102,13,1766192,0,06013345102,Contra Costa
6013359204,13,3417079,0,06013359204,Contra Costa
6013302008,13,18779177,540455,06013302008,Contra Costa
6013324002,13,2008436,0,06013324002,Contra Costa
6013339001,13,1161671,0,06013339001,Contra Costa
6013359102,13,2099853,0,06013359102,Contra Costa
6013390200,13,619406,0,06013390200,Contra Costa
6013307204,13,1499997,0,06013307204,Contra Costa
6013333200,13,2374347,0,06013333200,Contra Costa
6013392300,13,2112144,1274479,06013392300,Contra Costa
6013345103,13,3240415,0,06013345103,Contra Costa
6013302010,13,6923414,0,06013302010,Contra Costa
6013303201,13,13385634,0,06013303201,Contra Costa
6013304003,13,8724116,747262,06013304003,Contra Costa
6013305000,13,8167944,1624778,06013305000,Contra Costa
6013307102,13,1603151,0,06013307102,Contra Costa
6013321103,13,5197811,0,06013321103,Contra Costa
6013327000,13,8328747,0,06013327000,Contra Costa
6013332000,13,3126999,0,06013332000,Contra Costa
6013334200,13,6787081,0,06013334200,Contra Costa
6013336102,13,663695,0,06013336102,Contra Costa
6013338204,13,2608154,15822,06013338204,Contra Costa
6013356001,13,15835711,0,06013356001,Contra Costa
6013359105,13,1711697,882610,06013359105,Contra Costa
6013362000,13,1314228,0,06013362000,Contra Costa
6013364002,13,1994832,0,06013364002,Contra Costa
6013367100,13,1724960,32931,06013367100,Contra Costa
6013369002,13,1502615,0,06013369002,Contra Costa
6013377000,13,1246066,0,06013377000,Contra Costa
6013382000,13,1917613,0,06013382000,Contra Costa
6013384000,13,1596133,0,06013384000,Contra Costa
6013392000,13,1012219,24193,06013392000,Contra Costa
6013340001,13,2714497,0,06013340001,Contra Costa
6013343003,13,5840556,0,06013343003,Contra Costa
6013345108,13,7252743,41682,06013345108,Contra Costa
6013345202,13,7313345,0,06013345202,Contra Costa
6013346101,13,8725344,0,06013346101,Contra Costa
6013347000,13,26501748,0,06013347000,Contra Costa
6013351101,13,2429609,0,06013351101,Contra Costa
6013338302,13,6750243,0,06013338302,Contra Costa
6013351200,13,9044398,0,06013351200,Contra Costa
