OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
2079015504372387|06001403302|Census Tract 4033.02|719239|104126|G5020|S|20740141323822|06001427300|Census Tract 4273|1953880|845334|G5020|S|0|7362
2079015504372381|06001403401|Census Tract 4034.01|549686|602434|G5020|S|20740141324035|06001403400|Census Tract 4034|664232|602434|G5020|S|549686|602434
2079015504372385|06001403402|Census Tract 4034.02|99215|0|G5020|S|20740141324035|06001403400|Census Tract 4034|664232|602434|G5020|S|99215|0
207903717158947|06001403501|Census Tract 4035.01|669873|0|G5020|S|207403717158947|06001403501|Census Tract 4035.01|668430|0|G5020|S|668430|0
207903717158947|06001403501|Census Tract 4035.01|669873|0|G5020|S|20740141324027|06001404000|Census Tract 4040|367293|0|G5020|S|1443|0
207903717158948|06001403502|Census Tract 4035.02|181133|0|G5020|S|207403717158948|06001403502|Census Tract 4035.02|182462|0|G5020|S|181133|0
20790141324077|06001403600|Census Tract 4036|392820|0|G5020|S|207403717158948|06001403502|Census Tract 4035.02|182462|0|G5020|S|1329|0
20790141324077|06001403600|Census Tract 4036|392820|0|G5020|S|20740141324077|06001403600|Census Tract 4036|389778|0|G5020|S|388361|0
20790141324077|06001403600|Census Tract 4036|392820|0|G5020|S|207403717158961|06001403702|Census Tract 4037.02|200813|0|G5020|S|3130|0
207903717158952|06001403701|Census Tract 4037.01|173947|0|G5020|S|207403717158952|06001403701|Census Tract 4037.01|173947|0|G5020|S|173947|0
207903717158961|06001403702|Census Tract 4037.02|199100|0|G5020|S|20740141324077|06001403600|Census Tract 4036|389778|0|G5020|S|1417|0
207903717158961|06001403702|Census Tract 4037.02|199100|0|G5020|S|207403717158961|06001403702|Census Tract 4037.02|200813|0|G5020|S|197683|0
20790141324075|06001403800|Census Tract 4038|652668|0|G5020|S|20740141324075|06001403800|Census Tract 4038|656489|0|G5020|S|650678|0
20790141324075|06001403800|Census Tract 4038|652668|0|G5020|S|20740141323912|06001426100|Census Tract 4261|2993384|0|G5020|S|266|0
20790141324075|06001403800|Census Tract 4038|652668|0|G5020|S|20740141323999|06001426200|Census Tract 4262|1356510|0|G5020|S|1724|0
20790141324039|06001403900|Census Tract 4039|493100|0|G5020|S|20740141324039|06001403900|Census Tract 4039|494905|0|G5020|S|493100|0
20790141324027|06001404000|Census Tract 4040|366986|0|G5020|S|20740141324027|06001404000|Census Tract 4040|367293|0|G5020|S|365850|0
20790141324027|06001404000|Census Tract 4040|366986|0|G5020|S|20740141323999|06001426200|Census Tract 4262|1356510|0|G5020|S|1136|0
207903717158357|06001404101|Census Tract 4041.01|569281|0|G5020|S|207403717158357|06001404101|Census Tract 4041.01|575198|0|G5020|S|569239|0
207903717158357|06001404101|Census Tract 4041.01|569281|0|G5020|S|20740141323999|06001426200|Census Tract 4262|1356510|0|G5020|S|42|0
207903717158980|06001404102|Census Tract 4041.02|230172|0|G5020|S|207403717158980|06001404102|Census Tract 4041.02|230172|0|G5020|S|230172|0
20790141324040|06001404200|Census Tract 4042|2728225|0|G5020|S|207403717158357|06001404101|Census Tract 4041.01|575198|0|G5020|S|3985|0
20790141324040|06001404200|Census Tract 4042|2728225|0|G5020|S|20740141324040|06001404200|Census Tract 4042|2730726|0|G5020|S|2713011|0
20790141324040|06001404200|Census Tract 4042|2728225|0|G5020|S|20740141323912|06001426100|Census Tract 4261|2993384|0|G5020|S|11229|0
20790141324093|06001404300|Census Tract 4043|1817027|37495|G5020|S|20740141324093|06001404300|Census Tract 4043|1824691|37495|G5020|S|1815128|37495
20790141324093|06001404300|Census Tract 4043|1817027|37495|G5020|S|20740141323867|06001404400|Census Tract 4044|4140206|0|G5020|S|1899|0
20790141323867|06001404400|Census Tract 4044|4152683|0|G5020|S|20740141323867|06001404400|Census Tract 4044|4140206|0|G5020|S|4136897|0
20790141323867|06001404400|Census Tract 4044|4152683|0|G5020|S|20740141324079|06001404501|Census Tract 4045.01|1110074|5141|G5020|S|9370|0
20790141323867|06001404400|Census Tract 4044|4152683|0|G5020|S|20740146183209|06013353001|Census Tract 3530.01|13693063|1967|G5020|S|6416|0
20790141324079|06001404501|Census Tract 4045.01|1079143|5141|G5020|S|20740141324079|06001404501|Census Tract 4045.01|1110074|5141|G5020|S|1075419|5141
20790141324079|06001404501|Census Tract 4045.01|1079143|5141|G5020|S|20740141324046|06001404700|Census Tract 4047|1205968|0|G5020|S|3634|0
20790141324079|06001404501|Census Tract 4045.01|1079143|5141|G5020|S|20740141323912|06001426100|Census Tract 4261|2993384|0|G5020|S|90|0
20790141324000|06001404502|Census Tract 4045.02|3079867|0|G5020|S|20740141324000|06001404502|Census Tract 4045.02|3086534|0|G5020|S|3062366|0
20790141324000|06001404502|Census Tract 4045.02|3079867|0|G5020|S|20740146183196|06013352202|Census Tract 3522.02|13721679|0|G5020|S|13658|0
20790141324000|06001404502|Census Tract 4045.02|3079867|0|G5020|S|20740146183209|06013353001|Census Tract 3530.01|13693063|1967|G5020|S|3843|0
20790141323905|06001404600|Census Tract 4046|4877912|0|G5020|S|20740141324000|06001404502|Census Tract 4045.02|3086534|0|G5020|S|24018|0
