MSSA_ID,changeCode,changeSystem,adjustedID,adjustedID2,adjustedMSSA_NAME,CNTY_FIPS,COUNTY,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,POP_CIV
111.1,2,"111.1,111.2,111.3,112.2",112.2plus,112.2plus,Angwin/Deer Park/St. Helena/Calistoga/Berryessa/Napa Northeast/Rutherford/Yountville,55,Napa,Angwin/Deer Park/St. Helena,Rural,108.947776,126.950732,13831,12091
111.2,2,"111.1,111.2,111.3,112.2",112.2plus,112.2plus,Angwin/Deer Park/St. Helena/Calistoga/Berryessa/Napa Northeast/Rutherford/Yountville,55,Napa,Calistoga,Rural,84.407978,71.130716,6004,6004
111.3,2,"111.1,111.2,111.3,112.2",112.2plus,112.2plus,Angwin/Deer Park/St. Helena/Calistoga/Berryessa/Napa Northeast/Rutherford/Yountville,55,Napa,Berryessa,Frontier,5.551844,293.055741,1627,1627
112.1,1,"112.1,112.3",112.1plus,112.1plus,Napa Central/American Canyon,55,Napa,Napa Central,Urban,3207.020018,19.843967,63640,61003
112.2,1,"111.1,111.2,111.3,112.2",112.2plus,112.2plus,Angwin/Deer Park/St. Helena/Calistoga/Berryessa/Napa Northeast/Rutherford/Yountville,55,Napa,Napa Northeast/Rutherford/Yountville,Rural,130.89555,232.414317,30422,29329
112.3,2,"112.1,112.3",112.1plus,112.1plus,Napa Central/American Canyon,55,Napa,American Canyon,Urban,410.04953,45.182346,18527,18527
113,2,"113,114",114plus,114plus,Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood/North Bloomfield/North San Juan/Truckee,57,Nevada,Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood,Rural,191.847219,411.35858,78918,78125
114,1,"113,114",114plus,114plus,Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood/North Bloomfield/North San Juan/Truckee,57,Nevada,North Bloomfield/North San Juan/Truckee,Rural,34.258205,562.434604,19268,19268
115.1,0,115.1,115.1,115.1,Dana Point/San Clemente/San Juan Capistrano,59,Orange,Dana Point/San Clemente/San Juan Capistrano,Urban,3207.92798,34.353015,110202,109643
115.2a,0,115.2a,115.2a,115.2a,Lake Forest East/Mission Viejo Central and South,59,Orange,Lake Forest East/Mission Viejo Central and South,Urban,5009.929668,21.716272,108797,108474
115.2b,0,115.2b,115.2b,115.2b,Coto de Caza/Las Flores/Mission Viejo Northwest/Rancho Santa Margarita/Trabuco Canyon,59,Orange,Coto de Caza/Las Flores/Mission Viejo Northwest/Rancho Santa Margarita/Trabuco Canyon,Urban,642.098383,205.871877,132190,131963
115.2c,0,115.2c,115.2c,115.2c,Aliso Viejo/Laguna Hills/Laguna Niguel,59,Orange,Aliso Viejo/Laguna Hills/Laguna Niguel,Urban,4098.01293,29.929383,122651,122425
115.2d,0,115.2d,115.2d,115.2d,Laguna Beach/Laguna Woods,59,Orange,Laguna Beach/Laguna Woods,Urban,3149.278751,23.875307,75190,74561
116a,0,116a,116a,116a,Buena Park/La Palma,59,Orange,Buena Park/La Palma,Urban,7855.25767,10.096549,79311,78570
116b,0,116b,116b,116b,Santa Ana Central,59,Orange,Santa Ana Central,Urban,19068.53133,6.061347,115581,112449
116c,0,116c,116c,116c,Anaheim West,59,Orange,Anaheim West,Urban,10958.5285,11.14082,122087,120151
116d,0,116d,116d,116d,Irvine South/Newport Beach/Newport Coast/San Joaquin Hills,59,Orange,Irvine South/Newport Beach/Newport Coast/San Joaquin Hills,Urban,2504.817601,58.095248,145518,134408
116e,0,116e,116e,116e,Cypress/Los Alamitos/Rossmoor,59,Orange,Cypress/Los Alamitos/Rossmoor,Urban,6015.598338,18.900198,113696,112314
116f,0,116f,116f,116f,Fullerton Central and South,59,Orange,Fullerton Central and South,Urban,5851.247143,17.744764,103829,101572
116g,0,116g,116g,116g,Santa Ana South,59,Orange,Santa Ana South,Urban,10430.86694,11.182867,116647,115621
116h,0,116h,116h,116h,City of Orange South/Santa Ana North/Tustin Foothills/Tustin West,59,Orange,City of Orange South/Santa Ana North/Tustin Foothills/Tustin West,Urban,5583.124531,23.327797,130242,128128
116i,0,116i,116i,116i,Garden Grove South/Santa Ana West,59,Orange,Garden Grove South/Santa Ana West,Urban,11894.68371,9.75772,116065,114671
116j,0,116j,116j,116j,Fountain Valley/Huntington Beach Central,59,Orange,Fountain Valley/Huntington Beach Central,Urban,6232.983102,12.390375,77229,76441
